GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
24001,050,24,001,19060,999,,,Allegany County,75087,33311,74930,32984,75087,74930
24003,050,24,003,12580,548,,,Anne Arundel County,537656,212562,489656,186937,537656,489656
24005,050,24,005,12580,548,,,Baltimore County,805029,335622,754292,313734,805029,754292
24009,050,24,009,47900,548,,,Calvert County,88737,33780,74563,27576,88737,74563
24011,050,24,011,99999,999,,,Caroline County,33066,13482,29772,12028,33066,29772
24013,050,24,013,12580,548,,,Carroll County,167134,62406,150897,54260,167134,150897
24015,050,24,015,37980,428,,,Cecil County,101108,41103,85951,34461,101108,85951
24017,050,24,017,47900,548,,,Charles County,146551,54963,120546,43903,146551,120546
24019,050,24,019,15700,999,,,Dorchester County,32618,16554,30674,14681,32618,30674
24021,050,24,021,47900,548,,,Frederick County,233385,90136,195277,73017,233385,195277
24023,050,24,023,99999,999,,,Garrett County,30097,18854,29846,16761,30097,29846
24025,050,24,025,12580,548,,,Harford County,244826,95554,218590,83146,244826,218590
24027,050,24,027,12580,548,,,Howard County,287085,109282,247842,92818,287085,247842
24029,050,24,029,99999,999,,,Kent County,20197,10549,19197,9410,20197,19197
24031,050,24,031,47900,548,,,Montgomery County,971777,375905,873341,334632,971777,873341
24033,050,24,033,47900,548,,,Prince George's County,863420,328182,801515,302378,863420,801515
24035,050,24,035,12580,548,,,Queen Anne's County,47798,20140,40563,16674,47798,40563
24037,050,24,037,30500,548,,,St. Mary's County,105151,41282,86211,34081,105151,86211
24039,050,24,039,41540,480,,,Somerset County,26470,11130,24747,10092,26470,24747
24041,050,24,041,20660,999,,,Talbot County,37782,19577,33812,16500,37782,33812
24043,050,24,043,25180,999,,,Washington County,147430,60814,131923,52972,147430,131923
24045,050,24,045,41540,480,,,Wicomico County,98733,41192,84644,34401,98733,84644
24047,050,24,047,36180,480,,,Worcester County,51454,55749,46543,47360,51454,46543
24510,050,24,510,12580,548,,,Baltimore city,620961,296685,651154,300477,620961,651154
