GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
38001,050,38,001,99999,999,,,Adams County,2343,1377,2593,1416,2343,2593
38003,050,38,003,99999,999,,,Barnes County,11066,5704,11775,5599,11066,11775
38005,050,38,005,99999,999,,,Benson County,6660,2950,6964,2932,6660,6964
38007,050,38,007,19860,999,,,Billings County,783,484,888,529,783,888
38009,050,38,009,99999,999,,,Bottineau County,6429,4341,7149,4409,6429,7149
38011,050,38,011,99999,999,,,Bowman County,3151,1683,3242,1596,3151,3242
38013,050,38,013,99999,999,,,Burke County,1968,1340,2242,1412,1968,2242
38015,050,38,015,13900,999,,,Burleigh County,81308,35754,69416,29003,81308,69416
38017,050,38,017,22020,244,,,Cass County,149778,67938,123138,53790,149778,123138
38019,050,38,019,99999,999,,,Cavalier County,3993,2309,4831,2725,3993,4831
38021,050,38,021,99999,999,,,Dickey County,5289,2636,5757,2656,5289,5757
38023,050,38,023,99999,999,,,Divide County,2071,1324,2283,1469,2071,2283
38025,050,38,025,99999,999,,,Dunn County,3536,2132,3600,1965,3536,3600
38027,050,38,027,99999,999,,,Eddy County,2385,1323,2757,1418,2385,2757
38029,050,38,029,99999,999,,,Emmons County,3550,2085,4331,2168,3550,4331
38031,050,38,031,99999,999,,,Foster County,3343,1801,3759,1793,3343,3759
38033,050,38,033,99999,999,,,Golden Valley County,1680,967,1924,973,1680,1924
38035,050,38,035,24220,999,,,Grand Forks County,66861,29344,66109,27373,66861,66109
38037,050,38,037,99999,999,,,Grant County,2394,1690,2841,1722,2394,2841
38039,050,38,039,99999,999,,,Griggs County,2420,1461,2754,1521,2420,2754
38041,050,38,041,99999,999,,,Hettinger County,2477,1414,2715,1419,2477,2715
38043,050,38,043,99999,999,,,Kidder County,2435,1674,2753,1610,2435,2753
38045,050,38,045,99999,999,,,LaMoure County,4139,2238,4701,2271,4139,4701
38047,050,38,047,99999,999,,,Logan County,1990,1144,2308,1193,1990,2308
38049,050,38,049,33500,999,,,McHenry County,5395,2948,5987,2983,5395,5987
38051,050,38,051,99999,999,,,McIntosh County,2809,1858,3390,1853,2809,3390
38053,050,38,053,99999,999,,,McKenzie County,6360,3090,5737,2719,6360,5737
38055,050,38,055,99999,999,,,McLean County,8962,5590,9311,5264,8962,9311
38057,050,38,057,99999,999,,,Mercer County,8424,4450,8644,4402,8424,8644
38059,050,38,059,13900,999,,,Morton County,27471,12079,25303,10587,27471,25303
38061,050,38,061,99999,999,,,Mountrail County,7673,4119,6631,3438,7673,6631
38063,050,38,063,99999,999,,,Nelson County,3126,1927,3715,2014,3126,3715
38065,050,38,065,99999,999,,,Oliver County,1846,905,2065,903,1846,2065
38067,050,38,067,99999,999,,,Pembina County,7413,3859,8585,4115,7413,8585
38069,050,38,069,99999,999,,,Pierce County,4357,2199,4675,2269,4357,4675
38071,050,38,071,99999,999,,,Ramsey County,11451,5615,12066,5729,11451,12066
38073,050,38,073,99999,999,,,Ransom County,5457,2656,5890,2604,5457,5890
38075,050,38,075,33500,999,,,Renville County,2470,1386,2610,1413,2470,2610
38077,050,38,077,47420,244,,,Richland County,16321,7503,17998,7575,16321,17998
38079,050,38,079,99999,999,,,Rolette County,13937,5372,13674,5027,13937,13674
38081,050,38,081,99999,999,,,Sargent County,3829,2004,4366,2016,3829,4366
38083,050,38,083,99999,999,,,Sheridan County,1321,894,1710,924,1321,1710
38085,050,38,085,99999,999,,,Sioux County,4153,1311,4044,1216,4153,4044
38087,050,38,087,99999,999,,,Slope County,727,436,767,451,727,767
38089,050,38,089,19860,999,,,Stark County,24199,10735,22636,9722,24199,22636
38091,050,38,091,99999,999,,,Steele County,1975,1171,2258,1231,1975,2258
38093,050,38,093,27420,999,,,Stutsman County,21100,9862,21908,9817,21100,21908
38095,050,38,095,99999,999,,,Towner County,2246,1449,2876,1558,2246,2876
38097,050,38,097,99999,999,,,Traill County,8121,3780,8477,3708,8121,8477
38099,050,38,099,99999,999,,,Walsh County,11119,5498,12389,5757,11119,12389
38101,050,38,101,33500,999,,,Ward County,61675,26744,58795,25097,61675,58795
38103,050,38,103,99999,999,,,Wells County,4207,2481,5102,2643,4207,5102
38105,050,38,105,48780,999,,,Williams County,22398,10464,19761,9680,22398,19761
