GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
39001,050,39,001,99999,999,,,Adams County,28550,12978,27330,11822,28550,27330
39003,050,39,003,30620,338,,,Allen County,106331,44999,108473,44245,106331,108473
39007,050,39,007,11780,184,,,Ashtabula County,101497,46099,102728,43792,101497,102728
39009,050,39,009,11900,999,,,Athens County,64757,26385,62223,24901,64757,62223
39011,050,39,011,47540,338,,,Auglaize County,45949,19585,46611,18470,45949,46611
39013,050,39,013,48540,999,,,Belmont County,70400,32452,70226,31236,70400,70226
39015,050,39,015,17140,178,,,Brown County,44846,19301,42285,17193,44846,42285
39017,050,39,017,17140,178,,,Butler County,368130,148273,332807,129793,368130,332807
39019,050,39,019,15940,999,,,Carroll County,28836,13698,28836,13016,28836,28836
39021,050,39,021,46500,212,,,Champaign County,40097,16755,38890,15890,40097,38890
39023,050,39,023,44220,212,,,Clark County,138333,61419,144742,61056,138333,144742
39025,050,39,025,17140,178,,,Clermont County,197363,80656,177977,69226,197363,177977
39027,050,39,027,48940,178,,,Clinton County,42040,18133,40543,16577,42040,40543
39029,050,39,029,20620,566,,,Columbiana County,107841,47088,112075,46083,107841,112075
39037,050,39,037,24820,212,,,Darke County,52959,22730,53309,21583,52959,53309
39039,050,39,039,19580,999,,,Defiance County,39037,16729,39500,16040,39037,39500
39041,050,39,041,18140,198,,,Delaware County,174214,66378,109989,42374,174214,109989
39043,050,39,043,41780,999,,,Erie County,77079,37845,79551,35909,77079,79551
39045,050,39,045,18140,198,,,Fairfield County,146156,58687,122759,47922,146156,122759
39049,050,39,049,18140,198,,,Franklin County,1163414,527186,1068978,471016,1163414,1068978
39051,050,39,051,45780,534,,,Fulton County,42698,17407,42084,16232,42698,42084
39053,050,39,053,38580,999,,,Gallia County,30934,13925,31069,13498,30934,31069
39055,050,39,055,17460,184,,,Geauga County,93389,36574,90895,32805,93389,90895
39057,050,39,057,19380,212,,,Greene County,161573,68241,147886,58224,161573,147886
39059,050,39,059,15740,999,,,Guernsey County,40087,19193,40792,18771,40087,40792
