GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
54001,050,54,001,99999,999,,,Barbour County,16589,7849,15557,7348,16589,15557
54005,050,54,005,16620,999,,,Boone County,24629,11070,25535,11575,24629,25535
54007,050,54,007,99999,999,,,Braxton County,14523,7415,14702,7374,14523,14702
54009,050,54,009,44600,999,,,Brooke County,24069,10967,25447,11150,24069,25447
54013,050,54,013,99999,999,,,Calhoun County,7627,3963,7582,3848,7627,7582
54015,050,54,015,16620,999,,,Clay County,9386,4572,10330,4836,9386,10330
54019,050,54,019,36060,138,,,Fayette County,46039,21618,47579,21616,46039,47579
54021,050,54,021,99999,999,,,Gilmer County,8693,3448,7160,3621,8693,7160
54023,050,54,023,99999,999,,,Grant County,11937,6366,11299,6105,11937,11299
54025,050,54,025,99999,999,,,Greenbrier County,35480,18980,34453,17644,35480,34453
54027,050,54,027,49020,548,,,Hampshire County,23964,13688,20203,11185,23964,20203
54029,050,54,029,44600,999,,,Hancock County,30676,14541,32667,14728,30676,32667
54031,050,54,031,99999,999,,,Hardy County,14025,8078,12669,7115,14025,12669
54033,050,54,033,17220,242,,,Harrison County,69099,31431,68652,31112,69099,68652
54035,050,54,035,99999,999,,,Jackson County,29211,13305,28000,12245,29211,28000
54037,050,54,037,47900,548,,,Jefferson County,53498,22037,42190,17623,53498,42190
54039,050,54,039,16620,999,,,Kanawha County,193063,92618,200073,93788,193063,200073
54041,050,54,041,99999,999,,,Lewis County,16372,7958,16919,7944,16372,16919
54043,050,54,043,16620,999,,,Lincoln County,21720,9887,22108,9846,21720,22108
54045,050,54,045,99999,999,,,Logan County,36743,16743,37710,16807,36743,37710
54047,050,54,047,99999,999,,,McDowell County,22113,11322,27329,13582,22113,27329
54049,050,54,049,21900,242,,,Marion County,56418,26463,56598,26660,56418,56598
54051,050,54,051,48540,999,,,Marshall County,33107,15918,35519,15814,33107,35519
54057,050,54,057,19060,999,,,Mineral County,28212,13039,27078,12094,28212,27078
54061,050,54,061,34060,999,,,Monongalia County,96189,43238,81866,36695,96189,81866
54063,050,54,063,99999,999,,,Monroe County,13502,7601,14583,7267,13502,14583
54065,050,54,065,25180,999,,,Morgan County,17541,9753,14943,8076,17541,14943
54067,050,54,067,99999,999,,,Nicholas County,26233,13064,26562,12406,26233,26562
54069,050,54,069,48540,999,,,Ohio County,44443,21172,47427,22166,44443,47427
54073,050,54,073,37620,999,,,Pleasants County,7605,3390,7514,3214,7605,7514
54075,050,54,075,99999,999,,,Pocahontas County,8719,8847,9131,7594,8719,9131
54077,050,54,077,34060,999,,,Preston County,33520,15097,29334,13444,33520,29334
54079,050,54,079,16620,999,,,Putnam County,55486,23438,51589,21621,55486,51589
54081,050,54,081,13220,138,,,Raleigh County,78859,35931,79220,35678,78859,79220
54083,050,54,083,99999,999,,,Randolph County,29405,14189,28262,13478,29405,28262
54085,050,54,085,99999,999,,,Ritchie County,10449,5843,10343,5513,10449,10343
54089,050,54,089,99999,999,,,Summers County,13927,7680,12999,7331,13927,12999
54093,050,54,093,99999,999,,,Tucker County,7141,5346,7321,4634,7141,7321
54095,050,54,095,99999,999,,,Tyler County,9208,5000,9592,4780,9208,9592
54097,050,54,097,99999,999,,,Upshur County,24254,11099,23404,10751,24254,23404
54099,050,54,099,26580,999,,,Wayne County,42481,19227,42903,19107,42481,42903
54101,050,54,101,99999,999,,,Webster County,9154,5428,9719,5273,9154,9719
54103,050,54,103,99999,999,,,Wetzel County,16583,8173,17693,8313,16583,17693
54105,050,54,105,37620,999,,,Wirt County,5717,3231,5873,3266,5717,5873
54107,050,54,107,37620,999,,,Wood County,86956,40215,87986,39785,86956,87986
54109,050,54,109,99999,999,,,Wyoming County,23796,10958,25708,11698,23796,25708
54003,050,54,003,25180,999,,,Berkeley County,104169,44762,75905,32913,104169,75905
54053,050,54,053,38580,999,,,Mason County,27324,13006,25957,12056,27324,25957
54011,050,54,011,26580,999,,,Cabell County,96319,46169,96784,45615,96319,96784
54017,050,54,017,17220,242,,,Doddridge County,8202,3946,7403,3661,8202,7403
54055,050,54,055,14140,999,,,Mercer County,62264,30115,62980,30143,62264,62980
54059,050,54,059,99999,999,,,Mingo County,26839,12699,28253,12898,26839,28253
54071,050,54,071,99999,999,,,Pendleton County,7695,5132,8196,5102,7695,8196
54087,050,54,087,99999,999,,,Roane County,14926,7351,15446,7360,14926,15446
54091,050,54,091,17220,242,,,Taylor County,16895,7541,16089,7125,16895,16089
