GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
17001,050,17,001,39500,999,,,Adams County,67103,29842,68277,29386,67103,68277
17003,050,17,003,16020,164,,,Alexander County,8238,4006,9590,4591,8238,9590
17005,050,17,005,41180,476,,,Bond County,17768,7089,17633,6690,17768,17633
17007,050,17,007,40420,466,,,Boone County,54165,19970,41786,15414,54165,41786
17009,050,17,009,99999,999,,,Brown County,6937,2462,6950,2456,6937,6950
17011,050,17,011,36860,999,,,Bureau County,34978,15720,35503,15331,34978,35503
17013,050,17,013,41180,476,,,Calhoun County,5089,2835,5084,2681,5089,5084
17015,050,17,015,99999,999,,,Carroll County,15387,8437,16674,7945,15387,16674
17019,050,17,019,16580,999,,,Champaign County,201081,87569,179669,75280,201081,179669
17021,050,17,021,45380,999,,,Christian County,34800,15563,35372,14992,34800,35372
17023,050,17,023,99999,999,,,Clark County,16335,7772,17008,7816,16335,17008
17025,050,17,025,99999,999,,,Clay County,13815,6404,14560,6394,13815,14560
17029,050,17,029,16660,999,,,Coles County,53873,23425,53196,22768,53873,53196
17033,050,17,033,99999,999,,,Crawford County,19817,8661,20452,8785,19817,20452
17035,050,17,035,16660,999,,,Cumberland County,11048,4874,11253,4876,11048,11253
17037,050,17,037,16980,176,,,DeKalb County,105160,41079,88969,32988,105160,88969
17039,050,17,039,99999,999,,,De Witt County,16561,7521,16798,7282,16561,16798
17041,050,17,041,99999,999,,,Douglas County,19980,8390,19922,8005,19980,19922
17043,050,17,043,16980,176,,,DuPage County,916924,356179,904161,335621,916924,904161
17047,050,17,047,99999,999,,,Edwards County,6721,3187,6971,3199,6721,6971
17049,050,17,049,20820,999,,,Effingham County,34242,14570,34264,13959,34242,34264
17051,050,17,051,99999,999,,,Fayette County,22140,9302,21802,9053,22140,21802
17057,050,17,057,15900,426,,,Fulton County,37069,16195,38250,16240,37069,38250
17061,050,17,061,99999,999,,,Greene County,13886,6389,14761,6332,13886,14761
17063,050,17,063,16980,176,,,Grundy County,50063,19996,37535,15040,50063,37535
17065,050,17,065,34500,999,,,Hamilton County,8457,4104,8621,3983,8457,8621
17067,050,17,067,99999,999,,,Hancock County,19104,9274,20121,8909,19104,20121
17069,050,17,069,99999,999,,,Hardin County,4320,2488,4800,2494,4320,4800
17071,050,17,071,15460,999,,,Henderson County,7331,3827,8213,4126,7331,8213
17073,050,17,073,19340,999,,,Henry County,50486,22161,51020,21270,50486,51020
17075,050,17,075,99999,999,,,Iroquois County,29718,13452,31334,13362,29718,31334
17077,050,17,077,16060,166,,,Jackson County,60218,28578,59612,26844,60218,59612
17079,050,17,079,99999,999,,,Jasper County,9698,4345,10117,4294,9698,10117
17083,050,17,083,41180,476,,,Jersey County,22985,9848,21668,8918,22985,21668
17085,050,17,085,99999,999,,,Jo Daviess County,22678,13574,22289,12003,22678,22289
17087,050,17,087,99999,999,,,Johnson County,12582,5598,12878,5046,12582,12878
17089,050,17,089,16980,176,,,Kane County,515269,182047,404119,138998,515269,404119
17091,050,17,091,28100,176,,,Kankakee County,113449,45246,103833,40610,113449,103833
17093,050,17,093,16980,176,,,Kendall County,114736,40321,54544,19519,114736,54544
17095,050,17,095,23660,999,,,Knox County,52919,24077,55836,23717,52919,55836
17097,050,17,097,16980,176,,,Lake County,703462,260310,644356,225919,703462,644356
17101,050,17,101,99999,999,,,Lawrence County,16833,6936,15452,7014,16833,15452
17103,050,17,103,19940,999,,,Lee County,36031,15049,36062,14310,36031,36062
17107,050,17,107,30660,999,,,Logan County,30305,12107,31183,11872,30305,31183
17111,050,17,111,16980,176,,,McHenry County,308760,116040,260077,92908,308760,260077
17113,050,17,113,14060,999,,,McLean County,169572,69656,150433,59972,169572,150433
17115,050,17,115,19500,999,,,Macon County,110768,50475,114706,50241,110768,114706
17117,050,17,117,41180,476,,,Macoupin County,47765,21584,49019,21097,47765,49019
17119,050,17,119,41180,476,,,Madison County,269282,117106,258941,108942,269282,258941
17127,050,17,127,37140,424,,,Massac County,15429,7113,15161,6951,15429,15161
17129,050,17,129,44100,999,,,Menard County,12705,5654,12486,5285,12705,12486
17131,050,17,131,19340,999,,,Mercer County,16434,7358,16957,7109,16434,16957
17133,050,17,133,41180,476,,,Monroe County,32957,13392,27619,10749,32957,27619
17135,050,17,135,99999,999,,,Montgomery County,30104,13080,30652,12525,30104,30652
17137,050,17,137,27300,999,,,Morgan County,35547,15515,36616,15291,35547,36616
17141,050,17,141,40300,466,,,Ogle County,53497,22561,51032,20420,53497,51032
17143,050,17,143,37900,426,,,Peoria County,186494,83034,183433,78204,186494,183433
17145,050,17,145,99999,999,,,Perry County,22350,9426,23094,9457,22350,23094
17149,050,17,149,99999,999,,,Pike County,16430,7951,17384,8011,16430,17384
