GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
22001,050,22,001,18940,318,,,Acadia Parish,61773,25387,58861,23209,61773,58861
22003,050,22,003,99999,999,,,Allen Parish,25764,9733,25440,9157,25764,25440
22005,050,22,005,12940,132,,,Ascension Parish,107215,40784,76627,29172,107215,76627
22007,050,22,007,38200,132,,,Assumption Parish,23421,10351,23388,9635,23421,23388
22009,050,22,009,99999,999,,,Avoyelles Parish,42073,18042,41481,16576,42073,41481
22011,050,22,011,19760,256,,,Beauregard Parish,35654,15040,32986,14501,35654,32986
22013,050,22,013,99999,999,,,Bienville Parish,14353,7718,15752,7830,14353,15752
22015,050,22,015,43340,508,,,Bossier Parish,116979,49351,98310,40286,116979,98310
22017,050,22,017,43340,508,,,Caddo Parish,254969,112028,252161,108296,254969,252161
22019,050,22,019,29340,324,,,Calcasieu Parish,192768,82058,183577,75995,192768,183577
22021,050,22,021,99999,999,,,Caldwell Parish,10132,4994,10560,5035,10132,10560
22023,050,22,023,29340,324,,,Cameron Parish,6839,3593,9991,5336,6839,9991
22025,050,22,025,99999,999,,,Catahoula Parish,10407,4877,10920,5351,10407,10920
22027,050,22,027,99999,999,,,Claiborne Parish,17195,7761,16851,7815,17195,16851
22029,050,22,029,35020,999,,,Concordia Parish,20822,9383,20247,9148,20822,20247
22031,050,22,031,43340,508,,,De Soto Parish,26656,12290,25494,11204,26656,25494
22033,050,22,033,12940,132,,,East Baton Rouge Parish,440171,187353,412852,169073,440171,412852
22035,050,22,035,99999,999,,,East Carroll Parish,7759,2904,9421,3303,7759,9421
22037,050,22,037,12940,132,,,East Feliciana Parish,20267,8014,21360,7915,20267,21360
22039,050,22,039,99999,999,,,Evangeline Parish,33984,14662,35434,14258,33984,35434
22041,050,22,041,99999,999,,,Franklin Parish,20767,9034,21263,8623,20767,21263
22043,050,22,043,10780,999,,,Grant Parish,22309,8886,18698,8531,22309,18698
22045,050,22,045,35340,318,,,Iberia Parish,73240,29698,73266,27844,73240,73266
22047,050,22,047,12940,132,,,Iberville Parish,33387,12707,33320,11953,33387,33320
22049,050,22,049,40820,999,,,Jackson Parish,16274,7680,15397,7338,16274,15397
22051,050,22,051,35380,406,,,Jefferson Parish,432552,189135,455466,187907,432552,455466
22053,050,22,053,27660,324,,,Jefferson Davis Parish,31594,13306,31435,12824,31594,31435
22055,050,22,055,29180,318,,,Lafayette Parish,221578,93656,190503,78122,221578,190503
22057,050,22,057,26380,999,,,Lafourche Parish,96318,38582,89974,35045,96318,89974
22059,050,22,059,99999,999,,,La Salle Parish,14890,6560,14282,6273,14890,14282
22061,050,22,061,40820,999,,,Lincoln Parish,46735,19479,42509,17000,46735,42509
22063,050,22,063,12940,132,,,Livingston Parish,128026,50170,91814,36212,128026,91814
22065,050,22,065,45260,999,,,Madison Parish,12093,4804,13728,4979,12093,13728
22067,050,22,067,12820,384,,,Morehouse Parish,27979,12423,31021,12711,27979,31021
22069,050,22,069,35060,999,,,Natchitoches Parish,39566,18587,39080,16890,39566,39080
22071,050,22,071,35380,406,,,Orleans Parish,343829,189896,484674,215091,343829,484674
22073,050,22,073,33740,384,,,Ouachita Parish,153720,64481,147250,60154,153720,147250
22075,050,22,075,35380,406,,,Plaquemines Parish,23042,9596,26757,10481,23042,26757
22077,050,22,077,12940,132,,,Pointe Coupee Parish,22802,11130,22763,10297,22802,22763
22079,050,22,079,10780,999,,,Rapides Parish,131613,55684,126337,52038,131613,126337
22081,050,22,081,99999,999,,,Red River Parish,9091,4128,9622,3988,9091,9622
22083,050,22,083,99999,999,,,Richland Parish,20725,8621,20981,8335,20725,20981
22085,050,22,085,99999,999,,,Sabine Parish,24233,14130,23459,13671,24233,23459
22087,050,22,087,35380,406,,,St. Bernard Parish,35897,16794,67229,26790,35897,67229
22089,050,22,089,35380,406,,,St. Charles Parish,52780,19896,48072,17430,52780,48072
22091,050,22,091,12940,132,,,St. Helena Parish,11203,5150,10525,5034,11203,10525
22093,050,22,093,99999,999,,,St. James Parish,22102,8455,21216,7605,22102,21216
22095,050,22,095,35380,406,,,St. John the Baptist Parish,45924,17510,43044,15532,45924,43044
22097,050,22,097,36660,318,,,St. Landry Parish,83384,35692,87700,36216,83384,87700
22099,050,22,099,29180,318,,,St. Martin Parish,52160,21941,48583,20245,52160,48583
22101,050,22,101,34020,999,,,St. Mary Parish,54650,23028,53500,21650,54650,53500
22103,050,22,103,35380,406,,,St. Tammany Parish,233740,95412,191268,75398,233740,191268
22105,050,22,105,25220,999,,,Tangipahoa Parish,121097,50073,100588,40794,121097,100588
22107,050,22,107,99999,999,,,Tensas Parish,5252,3357,6618,3359,5252,6618
22109,050,22,109,26380,999,,,Terrebonne Parish,111860,43887,104503,39928,111860,104503
22111,050,22,111,33740,384,,,Union Parish,22721,11346,22803,10873,22721,22803
22113,050,22,113,10020,318,,,Vermilion Parish,57999,25235,53807,22461,57999,53807
22115,050,22,115,22860,256,,,Vernon Parish,52334,21433,52531,21030,52334,52531
22117,050,22,117,14220,406,,,Washington Parish,47168,21039,43926,19106,47168,43926
22119,050,22,119,33380,508,,,Webster Parish,41207,19336,41831,18991,41207,41831
22121,050,22,121,12940,132,,,West Baton Rouge Parish,23788,9324,21601,8370,23788,21601
22123,050,22,123,99999,999,,,West Carroll Parish,11604,5046,12314,4980,11604,12314
22125,050,22,125,12940,132,,,West Feliciana Parish,15625,5097,15111,4485,15625,15111
22127,050,22,127,99999,999,,,Winn Parish,15313,7234,16894,7502,15313,16894
