GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
41001,050,41,001,99999,999,,,Baker County,16134,8826,16741,8402,16134,16741
41005,050,41,005,38900,999,,,Clackamas County,375992,156945,338391,136954,375992,338391
41007,050,41,007,11820,999,,,Clatsop County,37039,21546,35630,19685,37039,35630
41009,050,41,009,38900,999,,,Columbia County,49351,20698,43560,17572,49351,43560
41011,050,41,011,18300,999,,,Coos County,63043,30593,62779,29247,63043,62779
41013,050,41,013,39260,140,,,Crook County,20978,10202,19182,8264,20978,19182
41015,050,41,015,15060,999,,,Curry County,22364,12613,21137,11406,22364,21137
41017,050,41,017,13460,140,,,Deschutes County,157733,80139,115367,54583,157733,115367
41019,050,41,019,40700,999,,,Douglas County,107667,48915,100399,43284,107667,100399
41021,050,41,021,99999,999,,,Gilliam County,1871,1156,1915,1043,1871,1915
41023,050,41,023,99999,999,,,Grant County,7445,4344,7935,4004,7445,7935
41029,050,41,029,32780,999,,,Jackson County,203206,90937,181269,75737,203206,181269
41033,050,41,033,24420,999,,,Josephine County,82713,38001,75726,33239,82713,75726
41037,050,41,037,99999,999,,,Lake County,7895,4439,7422,3999,7895,7422
41041,050,41,041,99999,999,,,Lincoln County,46034,30610,44479,26889,46034,44479
41043,050,41,043,10540,102,,,Linn County,116672,48821,103069,42521,116672,103069
41045,050,41,045,36620,999,,,Malheur County,31313,11692,31615,11233,31313,31615
41047,050,41,047,41420,999,,,Marion County,315335,120948,284834,108174,315335,284834
41049,050,41,049,37820,999,,,Morrow County,11173,4442,10995,4276,11173,10995
41051,050,41,051,38900,999,,,Multnomah County,735334,324832,660486,288561,735334,660486
41061,050,41,061,29260,999,,,Union County,25748,11489,24530,10603,25748,24530
41071,050,41,071,38900,999,,,Yamhill County,99193,37110,84992,30270,99193,84992
41031,050,41,031,99999,999,,,Jefferson County,21720,9815,19009,8319,21720,19009
41059,050,41,059,37820,999,,,Umatilla County,75889,29693,70548,27676,75889,70548
41063,050,41,063,99999,999,,,Wallowa County,7008,4108,7226,3900,7008,7226
41003,050,41,003,18700,102,,,Benton County,85579,36245,78153,31980,85579,78153
41025,050,41,025,99999,999,,,Harney County,7422,3835,7609,3533,7422,7609
41027,050,41,027,26220,999,,,Hood River County,22346,9271,20411,7818,22346,20411
41035,050,41,035,28900,999,,,Klamath County,66380,32774,63775,28883,66380,63775
41039,050,41,039,21660,999,,,Lane County,351715,156112,322959,138946,351715,322959
41053,050,41,053,41420,999,,,Polk County,75403,30302,62380,24461,75403,62380
41055,050,41,055,99999,999,,,Sherman County,1765,918,1934,935,1765,1934
41057,050,41,057,99999,999,,,Tillamook County,25250,18359,24262,15906,25250,24262
41065,050,41,065,45520,999,,,Wasco County,25213,11487,23791,10651,25213,23791
41067,050,41,067,38900,999,,,Washington County,529710,212450,445342,178913,529710,445342
41069,050,41,069,99999,999,,,Wheeler County,1441,895,1547,842,1441,1547
