GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
04001,050,04,001,99999,999,,,Apache County,71518,32514,69423,31621,71518,69423
04003,050,04,003,43420,999,,,Cochise County,131346,59041,117755,51126,131346,117755
04005,050,04,005,22380,999,,,Coconino County,134421,63321,116320,53443,134421,116320
04007,050,04,007,37740,999,,,Gila County,53597,32698,51335,28189,53597,51335
04009,050,04,009,40940,999,,,Graham County,37220,12980,33489,11430,37220,33489
04011,050,04,011,40940,999,,,Greenlee County,8437,4372,8547,3744,8437,8547
04012,050,04,012,99999,999,,,La Paz County,20489,16049,19715,15133,20489,19715
04013,050,04,013,38060,999,,,Maricopa County,3817117,1639279,3072149,1250231,3817117,3072149
04015,050,04,015,29420,999,,,Mohave County,200186,110911,155032,80062,200186,155032
04017,050,04,017,43320,999,,,Navajo County,107449,56938,97470,47413,107449,97470
04019,050,04,019,46060,999,,,Pima County,980263,440909,843746,366737,980263,843746
04021,050,04,021,38060,999,,,Pinal County,375770,159222,179727,81154,375770,179727
04023,050,04,023,35700,999,,,Santa Cruz County,47420,18010,38381,13036,47420,38381
04025,050,04,025,39140,999,,,Yavapai County,211033,110432,167517,81730,211033,167517
04027,050,04,027,49740,999,,,Yuma County,195751,87850,160026,74140,195751,160026
