GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
32001,050,32,001,21980,999,,,Churchill County,24877,10826,23982,9732,24877,23982
32005,050,32,005,23820,472,,,Douglas County,46997,23671,41259,19006,46997,41259
32007,050,32,007,21220,999,,,Elko County,48818,19566,45291,18456,48818,45291
32011,050,32,011,21220,999,,,Eureka County,1987,1076,1651,1025,1987,1651
32013,050,32,013,99999,999,,,Humboldt County,16528,7123,16106,6954,16528,16106
32017,050,32,017,99999,999,,,Lincoln County,5345,2730,4165,2178,5345,4165
32019,050,32,019,22280,456,,,Lyon County,51980,22547,34501,14279,51980,34501
32021,050,32,021,99999,999,,,Mineral County,4772,2830,5071,2866,4772,5071
32023,050,32,023,37220,332,,,Nye County,43946,22350,32485,15934,43946,32485
32029,050,32,029,39900,456,,,Storey County,4010,1990,3399,1596,4010,3399
32031,050,32,031,39900,456,,,Washoe County,421407,184841,339486,143908,421407,339486
32033,050,32,033,99999,999,,,White Pine County,10030,4498,9181,4439,10030,9181
32510,050,32,510,16180,999,,,Carson City,55274,23534,52457,21283,55274,52457
32003,050,32,003,29820,332,,,Clark County,1951269,840343,1375765,559799,1951269,1375765
32009,050,32,009,99999,999,,,Esmeralda County,783,850,971,833,783,971
32015,050,32,015,99999,999,,,Lander County,5775,2575,5794,2780,5775,5794
32027,050,32,027,99999,999,,,Pershing County,6753,2464,6693,2389,6753,6693
