GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
18001,050,18,001,19540,258,,,Adams County,34387,13014,33625,12404,34387,33625
18003,050,18,003,23060,258,,,Allen County,355329,152184,331849,138905,355329,331849
18005,050,18,005,18020,294,,,Bartholomew County,76794,33098,71435,29853,76794,71435
18011,050,18,011,26900,294,,,Boone County,56640,22754,46107,17929,56640,46107
18013,050,18,013,26900,294,,,Brown County,15242,8285,14957,7163,15242,14957
18017,050,18,017,30900,999,,,Cass County,38966,16474,40930,16620,38966,40930
18019,050,18,019,31140,350,,,Clark County,110232,47776,96472,41176,110232,96472
18023,050,18,023,23140,320,,,Clinton County,33224,13321,33866,13267,33224,33866
18025,050,18,025,99999,999,,,Crawford County,10713,5520,10743,5138,10713,10743
18027,050,18,027,47780,999,,,Daviess County,31648,12471,29820,11898,31648,29820
18031,050,18,031,24700,999,,,Decatur County,25740,11209,24555,9992,25740,24555
18033,050,18,033,12140,258,,,DeKalb County,42223,17558,40285,16144,42223,40285
18037,050,18,037,27540,999,,,Dubois County,41889,17384,39674,15511,41889,39674
18041,050,18,041,18220,999,,,Fayette County,24277,10898,25588,10981,24277,25588
18043,050,18,043,31140,350,,,Floyd County,74578,31968,70823,29087,74578,70823
18045,050,18,045,99999,999,,,Fountain County,17240,7865,17954,7692,17240,17954
18047,050,18,047,17140,178,,,Franklin County,23087,9538,22151,8596,23087,22151
18049,050,18,049,99999,999,,,Fulton County,20836,9708,20511,9123,20836,20511
18051,050,18,051,21780,999,,,Gibson County,33503,14645,32500,14125,33503,32500
18055,050,18,055,14020,999,,,Greene County,33165,15211,33157,15053,33165,33157
18057,050,18,057,26900,294,,,Hamilton County,274569,106772,182740,69478,274569,182740
18059,050,18,059,26900,294,,,Hancock County,70002,28125,55391,21750,70002,55391
18061,050,18,061,31140,350,,,Harrison County,39364,16534,34325,13699,39364,34325
18065,050,18,065,35220,294,,,Henry County,49462,21288,48508,20592,49462,48508
18067,050,18,067,29020,316,,,Howard County,82752,38679,84964,37604,82752,84964
18069,050,18,069,26540,258,,,Huntington County,37124,15805,38075,15269,37124,38075
18071,050,18,071,42980,999,,,Jackson County,42376,18202,41335,17137,42376,41335
18073,050,18,073,16980,176,,,Jasper County,33478,13168,30043,11236,33478,30043
18077,050,18,077,31500,999,,,Jefferson County,32428,14311,31705,13386,32428,31705
18079,050,18,079,35860,294,,,Jennings County,28525,12069,27554,11469,28525,27554
18083,050,18,083,47180,999,,,Knox County,38440,17038,39256,17305,38440,39256
18087,050,18,087,99999,999,,,LaGrange County,37128,14094,34909,12938,37128,34909
18089,050,18,089,16980,176,,,Lake County,496005,208750,484564,194992,496005,484564
18091,050,18,091,33140,176,,,LaPorte County,111467,48448,110106,45621,111467,110106
18093,050,18,093,13260,999,,,Lawrence County,46134,21074,45922,20560,46134,45922
18095,050,18,095,11300,294,,,Madison County,131636,59068,133358,56939,131636,133358
18097,050,18,097,26900,294,,,Marion County,903393,417862,860454,387183,903393,860454
18099,050,18,099,38500,515,,,Marshall County,47051,19845,45128,18099,47051,45128
18103,050,18,103,37940,316,,,Miami County,36903,15479,36082,15299,36903,36082
18105,050,18,105,14020,999,,,Monroe County,137974,59107,120563,50846,137974,120563
18107,050,18,107,18820,294,,,Montgomery County,38124,16535,37629,15678,38124,37629
18109,050,18,109,26900,294,,,Morgan County,68894,27754,66689,25908,68894,66689
18111,050,18,111,16980,176,,,Newton County,14244,6030,14566,5726,14244,14566
18113,050,18,113,28340,258,,,Noble County,47536,20109,46275,18233,47536,46275
18115,050,18,115,17140,178,,,Ohio County,6128,2784,5623,2424,6128,5623
18119,050,18,119,14020,999,,,Owen County,21575,10091,21786,9853,21575,21786
18123,050,18,123,99999,999,,,Perry County,19338,8495,18899,8223,19338,18899
18125,050,18,125,27540,999,,,Pike County,12845,5735,12837,5611,12845,12837
18129,050,18,129,21780,999,,,Posey County,25910,11207,27061,11076,25910,27061
18131,050,18,131,99999,999,,,Pulaski County,13402,6060,13755,5918,13402,13755
18133,050,18,133,26900,294,,,Putnam County,37963,14706,36019,13505,37963,36019
18135,050,18,135,99999,999,,,Randolph County,26171,11743,27401,11775,26171,27401
18139,050,18,139,99999,999,,,Rush County,17392,7508,18261,7337,17392,18261
18143,050,18,143,42500,350,,,Scott County,24181,10440,22960,9737,24181,22960
18145,050,18,145,26900,294,,,Shelby County,44436,19080,43445,17633,44436,43445
18147,050,18,147,99999,999,,,Spencer County,20952,8872,20391,8333,20952,20391
18149,050,18,149,99999,999,,,Starke County,23363,10962,23556,10201,23363,23556
18151,050,18,151,11420,258,,,Steuben County,34185,19377,33214,17337,34185,33214
18153,050,18,153,45460,999,,,Sullivan County,21475,8939,21751,8804,21475,21751
18155,050,18,155,99999,999,,,Switzerland County,10613,4969,9065,4226,10613,9065
18157,050,18,157,29140,320,,,Tippecanoe County,172780,71096,148955,58343,172780,148955
18159,050,18,159,29020,316,,,Tipton County,15936,6998,16577,6848,15936,16577
18163,050,18,163,21780,999,,,Vanderburgh County,179703,83003,171922,76300,179703,171922
18167,050,18,167,45460,999,,,Vigo County,107848,46006,105848,45203,107848,105848
18169,050,18,169,47340,999,,,Wabash County,32888,14171,34960,14034,32888,34960
18173,050,18,173,21780,999,,,Warrick County,59689,24203,52383,20546,59689,52383
18175,050,18,175,31140,350,,,Washington County,28262,12220,27223,11191,28262,27223
18177,050,18,177,39980,999,,,Wayne County,68917,31242,71097,30468,68917,71097
18021,050,18,021,45460,999,,,Clay County,26890,11703,26556,11097,26890,26556
18035,050,18,035,34620,999,,,Delaware County,117671,52357,118769,51032,117671,118769
18039,050,18,039,21140,515,,,Elkhart County,197559,77767,182791,69791,197559,182791
18053,050,18,053,31980,999,,,Grant County,70061,30443,73403,30560,70061,73403
18063,050,18,063,26900,294,,,Hendricks County,145448,55454,104093,39229,145448,104093
18081,050,18,081,26900,294,,,Johnson County,139654,56649,115209,45095,139654,115209
18117,050,18,117,99999,999,,,Orange County,19840,9176,19306,8348,19840,19306
18121,050,18,121,99999,999,,,Parke County,17339,8085,17241,7539,17339,17241
18141,050,18,141,43780,515,,,St. Joseph County,266931,114849,265559,107013,266931,265559
18007,050,18,007,29140,320,,,Benton County,8854,3937,9421,3818,8854,9421
18009,050,18,009,99999,999,,,Blackford County,12766,6051,14048,6155,12766,14048
18015,050,18,015,29140,320,,,Carroll County,20155,9472,20165,8675,20155,20165
18029,050,18,029,17140,178,,,Dearborn County,50047,20171,46109,17791,50047,46109
18075,050,18,075,99999,999,,,Jay County,21253,9221,21806,9074,21253,21806
18085,050,18,085,47700,999,,,Kosciusko County,77358,37038,74057,32188,77358,74057
18101,050,18,101,99999,999,,,Martin County,10334,4786,10369,4729,10334,10369
18127,050,18,127,16980,176,,,Porter County,164343,66179,146798,57616,164343,146798
18137,050,18,137,99999,999,,,Ripley County,28818,11952,26523,10482,28818,26523
18161,050,18,161,99999,999,,,Union County,7516,3239,7349,3077,7516,7349
18165,050,18,165,45460,999,,,Vermillion County,16212,7488,16788,7405,16212,16788
18171,050,18,171,99999,999,,,Warren County,8508,3680,8419,3477,8508,8419
18179,050,18,179,23060,258,,,Wells County,27636,11659,27600,10970,27636,27600
18181,050,18,181,99999,999,,,White County,24643,12970,25267,12083,24643,25267
18183,050,18,183,23060,258,,,Whitley County,33292,14281,30707,12545,33292,30707
