GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
16003,050,16,003,99999,999,,,Adams County,3976,2636,3476,1982,3976,3476
16005,050,16,005,38540,999,,,Bannock County,82839,33191,75565,29102,82839,75565
16007,050,16,007,99999,999,,,Bear Lake County,5986,3914,6411,3268,5986,6411
16009,050,16,009,99999,999,,,Benewah County,9285,4629,9171,4238,9285,9171
16011,050,16,011,13940,292,,,Bingham County,45607,16141,41735,14303,45607,41735
16013,050,16,013,99999,999,,,Blaine County,21376,15050,18991,12186,21376,18991
16015,050,16,015,14260,999,,,Boise County,7028,5292,6670,4349,7028,6670
16019,050,16,019,26820,292,,,Bonneville County,104234,39731,82522,30484,104234,82522
16021,050,16,021,99999,999,,,Boundary County,10972,5175,9871,4095,10972,9871
16025,050,16,025,99999,999,,,Camas County,1117,831,991,601,1117,991
16029,050,16,029,99999,999,,,Caribou County,6963,3226,7304,3188,6963,7304
16031,050,16,031,15420,999,,,Cassia County,22952,8372,21416,7862,22952,21416
16033,050,16,033,99999,999,,,Clark County,982,531,1022,521,982,1022
16037,050,16,037,99999,999,,,Custer County,4368,3103,4342,2983,4368,4342
16039,050,16,039,34300,999,,,Elmore County,27038,12162,29130,10527,27038,29130
16041,050,16,041,30860,999,,,Franklin County,12786,4528,11329,3872,12786,11329
16047,050,16,047,99999,999,,,Gooding County,15464,6093,14155,5505,15464,14155
16049,050,16,049,99999,999,,,Idaho County,16267,8744,15511,7537,16267,15511
16051,050,16,051,26820,292,,,Jefferson County,26140,8722,19155,6287,26140,19155
16053,050,16,053,46300,999,,,Jerome County,22374,8101,18342,6713,22374,18342
16055,050,16,055,17660,999,,,Kootenai County,138494,63177,108685,46607,138494,108685
16059,050,16,059,99999,999,,,Lemhi County,7936,4729,7806,4154,7936,7806
16061,050,16,061,99999,999,,,Lewis County,3821,1880,3747,1795,3821,3747
16063,050,16,063,99999,999,,,Lincoln County,5208,1976,4044,1651,5208,4044
16067,050,16,067,15420,999,,,Minidoka County,20069,7665,20174,7498,20069,20174
16069,050,16,069,30300,999,,,Nez Perce County,39265,17438,37410,16203,39265,37410
16073,050,16,073,14260,999,,,Owyhee County,11526,4781,10644,4452,11526,10644
16075,050,16,075,36620,999,,,Payette County,22623,8945,20578,7949,22623,20578
16077,050,16,077,38540,999,,,Power County,7817,2944,7538,2844,7817,7538
16079,050,16,079,99999,999,,,Shoshone County,12765,7061,13771,7057,12765,13771
16081,050,16,081,27220,999,,,Teton County,10170,5478,5999,2632,10170,5999
16083,050,16,083,46300,999,,,Twin Falls County,77230,31072,64284,25595,77230,64284
16001,050,16,001,14260,999,,,Ada County,392365,159471,300904,118516,392365,300904
16043,050,16,043,39940,999,,,Fremont County,13242,8531,11819,6890,13242,11819
16045,050,16,045,14260,999,,,Gem County,16719,7099,15181,5888,16719,15181
16065,050,16,065,39940,999,,,Madison County,37536,11280,27467,7630,37536,27467
16087,050,16,087,99999,999,,,Washington County,10198,4529,9977,4138,10198,9977
16017,050,16,017,99999,999,,,Bonner County,40877,24669,36835,19646,40877,36835
16023,050,16,023,99999,999,,,Butte County,2891,1354,2899,1290,2891,2899
16027,050,16,027,14260,999,,,Canyon County,188923,69409,131441,47965,188923,131441
16035,050,16,035,99999,999,,,Clearwater County,8761,4453,8930,4144,8761,8930
16057,050,16,057,34140,999,,,Latah County,37244,15988,34935,13838,37244,34935
16071,050,16,071,99999,999,,,Oneida County,4286,1906,4125,1755,4286,4125
16085,050,16,085,99999,999,,,Valley County,9862,11789,7651,8084,9862,7651
