GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
13001,050,13,001,99999,999,,,Appling County,18236,8512,17419,7854,18236,17419
13003,050,13,003,20060,999,,,Atkinson County,8375,3522,7609,3171,8375,7609
13005,050,13,005,99999,999,,,Bacon County,11096,4801,10103,4464,11096,10103
13007,050,13,007,10500,999,,,Baker County,3451,1652,4074,1740,3451,4074
13009,050,13,009,33300,999,,,Baldwin County,45720,20159,44700,17173,45720,44700
13013,050,13,013,12060,122,,,Barrow County,69367,26400,46144,17304,69367,46144
13015,050,13,015,12060,122,,,Bartow County,100157,39823,76019,28751,100157,76019
13017,050,13,017,22340,999,,,Ben Hill County,17634,7942,17484,7623,17634,17484
13019,050,13,019,99999,999,,,Berrien County,19286,8709,16235,7100,19286,16235
13021,050,13,021,31420,356,,,Bibb County,155547,69662,153887,67194,155547,153887
13023,050,13,023,99999,999,,,Bleckley County,13063,5304,11666,4866,13063,11666
13025,050,13,025,15260,999,,,Brantley County,18411,8086,14629,6490,18411,14629
13029,050,13,029,42340,496,,,Bryan County,30233,11842,23417,8675,30233,23417
13031,050,13,031,44340,999,,,Bulloch County,70217,28794,55983,22742,70217,55983
13033,050,13,033,12260,999,,,Burke County,23316,9865,22243,8842,23316,22243
13035,050,13,035,12060,122,,,Butts County,23655,9357,19522,7380,23655,19522
13045,050,13,045,12060,122,,,Carroll County,110527,44607,87268,34067,110527,87268
13047,050,13,047,16860,174,,,Catoosa County,63942,26606,53282,21794,63942,53282
13049,050,13,049,99999,999,,,Charlton County,12171,4475,10282,3859,12171,10282
13051,050,13,051,42340,496,,,Chatham County,265128,119323,232048,99683,265128,232048
13055,050,13,055,44900,999,,,Chattooga County,26015,10977,25470,10677,26015,25470
13057,050,13,057,12060,122,,,Cherokee County,214346,82360,141903,51937,214346,141903
13059,050,13,059,12020,999,,,Clarke County,116714,51068,101489,42126,116714,101489
13065,050,13,065,99999,999,,,Clinch County,6798,3007,6878,2837,6798,6878
13067,050,13,067,12060,122,,,Cobb County,688078,286490,607751,237522,688078,607751
13073,050,13,073,12260,999,,,Columbia County,124053,48626,89288,33321,124053,89288
13075,050,13,075,99999,999,,,Cook County,17212,7287,15771,6558,17212,15771
13077,050,13,077,12060,122,,,Coweta County,127317,50171,89215,33182,127317,89215
13081,050,13,081,18380,999,,,Crisp County,23439,10734,21996,9559,23439,21996
13083,050,13,083,16860,174,,,Dade County,16633,7305,15154,6224,16633,15154
13087,050,13,087,12460,999,,,Decatur County,27842,12125,28240,11968,27842,28240
13089,050,13,089,12060,122,,,DeKalb County,691893,304968,665865,261231,691893,665865
13091,050,13,091,99999,999,,,Dodge County,21796,9857,19171,8186,21796,19171
13093,050,13,093,99999,999,,,Dooly County,14918,6328,11525,4499,14918,11525
13095,050,13,095,10500,999,,,Dougherty County,94565,40801,96065,39656,94565,96065
13097,050,13,097,12060,122,,,Douglas County,132403,51672,92174,34825,132403,92174
13099,050,13,099,99999,999,,,Early County,11008,4975,12354,5338,11008,12354
13103,050,13,103,42340,496,,,Effingham County,52250,19884,37535,14169,52250,37535
13107,050,13,107,99999,999,,,Emanuel County,22598,9968,21837,9419,22598,21837
13109,050,13,109,99999,999,,,Evans County,11000,4664,10495,4381,11000,10495
13111,050,13,111,99999,999,,,Fannin County,23682,16207,19798,11134,23682,19798
13113,050,13,113,12060,122,,,Fayette County,106567,40793,91263,32726,106567,91263
13115,050,13,115,40660,999,,,Floyd County,96317,40551,90565,36615,96317,90565
13117,050,13,117,12060,122,,,Forsyth County,175511,64052,98407,36505,175511,98407
13123,050,13,123,99999,999,,,Gilmer County,28292,16564,23456,11924,28292,23456
13125,050,13,125,99999,999,,,Glascock County,3082,1519,2556,1192,3082,2556
13127,050,13,127,15260,999,,,Glynn County,79626,40716,67568,32636,79626,67568
13129,050,13,129,15660,999,,,Gordon County,55186,22278,44104,17145,55186,44104
13131,050,13,131,99999,999,,,Grady County,25011,10760,23659,9991,25011,23659
13133,050,13,133,99999,999,,,Greene County,15994,8688,14406,6653,15994,14406
13135,050,13,135,12060,122,,,Gwinnett County,805321,291547,588448,209682,805321,588448
13137,050,13,137,18460,999,,,Habersham County,43041,18146,35902,14634,43041,35902
13139,050,13,139,23580,122,,,Hall County,179684,68825,139277,51046,179684,139277
13141,050,13,141,33300,999,,,Hancock County,9429,5360,10076,4287,9429,10076
