GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
47001,050,47,001,28940,314,,,Anderson County,75129,34717,71330,32451,75129,71330
47003,050,47,003,43180,999,,,Bedford County,45058,18360,37586,14990,45058,37586
47005,050,47,005,99999,999,,,Benton County,16489,8975,16537,8595,16489,16537
47007,050,47,007,99999,999,,,Bledsoe County,12876,5718,12367,5142,12876,12367
47009,050,47,009,28940,314,,,Blount County,123010,55266,105823,47059,123010,105823
47011,050,47,011,17420,174,,,Bradley County,98963,41395,87965,36820,98963,87965
47013,050,47,013,29220,314,,,Campbell County,40716,19966,39854,18527,40716,39854
47015,050,47,015,34980,400,,,Cannon County,13801,6037,12826,5420,13801,12826
47017,050,47,017,99999,999,,,Carroll County,28522,13184,29475,13057,28522,29475
47019,050,47,019,27740,304,,,Carter County,57424,27746,56742,25920,57424,56742
47021,050,47,021,34980,400,,,Cheatham County,39105,15663,35912,13508,39105,35912
47023,050,47,023,27180,297,,,Chester County,17131,6980,15540,6178,17131,15540
47025,050,47,025,99999,999,,,Claiborne County,32213,14859,29862,13262,32213,29862
47027,050,47,027,99999,999,,,Clay County,7861,4282,7976,3959,7861,7976
47029,050,47,029,35460,314,,,Cocke County,35662,17459,33565,15844,35662,33565
47031,050,47,031,46100,999,,,Coffee County,52796,23434,48014,20746,52796,48014
47033,050,47,033,99999,999,,,Crockett County,14586,6425,14532,6138,14586,14532
47035,050,47,035,18900,999,,,Cumberland County,56053,28151,46802,22442,56053,46802
47037,050,47,037,34980,400,,,Davidson County,626681,283978,569891,252977,626681,569891
47039,050,47,039,99999,999,,,Decatur County,11757,6873,11731,6448,11757,11731
47041,050,47,041,99999,999,,,DeKalb County,18723,9405,17423,8409,18723,17423
47043,050,47,043,34980,400,,,Dickson County,49666,20820,43156,17614,49666,43156
47045,050,47,045,20540,999,,,Dyer County,38335,16703,37279,16123,38335,37279
47047,050,47,047,32820,999,,,Fayette County,38413,15669,28806,11214,38413,28806
47049,050,47,049,99999,999,,,Fentress County,17959,8961,16625,7598,17959,16625
47051,050,47,051,46100,999,,,Franklin County,41052,18697,39270,16813,41052,39270
47053,050,47,053,26480,297,,,Gibson County,49683,21999,48152,21059,49683,48152
47055,050,47,055,99999,999,,,Giles County,29485,13844,29447,13113,29485,29447
47057,050,47,057,34100,314,,,Grainger County,22657,10894,20659,9732,22657,20659
47059,050,47,059,24620,999,,,Greene County,68831,32025,62909,28116,68831,62909
47061,050,47,061,99999,999,,,Grundy County,13703,6397,14332,6282,13703,14332
47063,050,47,063,34100,314,,,Hamblen County,62544,26963,58128,24693,62544,58128
47065,050,47,065,16860,174,,,Hamilton County,336463,151107,307896,134692,336463,307896
47067,050,47,067,99999,999,,,Hancock County,6819,3624,6786,3280,6819,6786
47069,050,47,069,99999,999,,,Hardeman County,27253,10851,28105,10694,27253,28105
47071,050,47,071,99999,999,,,Hardin County,26026,13946,25578,12807,26026,25578
47073,050,47,073,28700,304,,,Hawkins County,56833,26870,53563,24416,56833,53563
47075,050,47,075,15140,999,,,Haywood County,18787,8315,19797,8086,18787,19797
47077,050,47,077,99999,999,,,Henderson County,27769,12776,25522,11446,27769,25522
47079,050,47,079,37540,999,,,Henry County,32330,17054,31115,15783,32330,31115
