GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
51001,050,51,001,99999,999,,,Accomack County,33164,21002,38305,19550,33164,38305
51003,050,51,003,16820,999,,,Albemarle County,98970,42122,79236,33720,98970,79236
51005,050,51,005,99999,999,,,Alleghany County,16250,8074,12926,5812,16250,12926
51007,050,51,007,40060,999,,,Amelia County,12690,5359,11400,4609,12690,11400
51009,050,51,009,31340,999,,,Amherst County,32353,13976,31894,12958,32353,31894
51011,050,51,011,31340,999,,,Appomattox County,14973,6921,13705,5828,14973,13705
51015,050,51,015,44420,999,,,Augusta County,73750,31194,65615,26738,73750,65615
51017,050,51,017,99999,999,,,Bath County,4731,3270,5048,2896,4731,5048
51019,050,51,019,31340,999,,,Bedford County,68676,31937,60371,26841,68676,60371
51021,050,51,021,99999,999,,,Bland County,6824,3265,6871,3161,6824,6871
51023,050,51,023,40220,999,,,Botetourt County,33148,14562,30496,12571,33148,30496
51029,050,51,029,99999,999,,,Buckingham County,17146,7244,15623,6290,17146,15623
51031,050,51,031,31340,999,,,Campbell County,54842,24769,51078,22088,54842,51078
51033,050,51,033,40060,999,,,Caroline County,28545,11729,22121,8889,28545,22121
51035,050,51,035,99999,999,,,Carroll County,30042,16569,29245,14680,30042,29245
51037,050,51,037,99999,999,,,Charlotte County,12586,6273,12472,5734,12586,12472
51041,050,51,041,40060,999,,,Chesterfield County,316236,122555,259903,97707,316236,259903
51043,050,51,043,47900,548,,,Clarke County,14034,6235,12652,5388,14034,12652
51045,050,51,045,40220,999,,,Craig County,5190,2809,5091,2554,5190,5091
51047,050,51,047,19020,548,,,Culpeper County,46689,17657,34262,12871,46689,34262
51051,050,51,051,99999,999,,,Dickenson County,15903,7579,16395,7684,15903,16395
51053,050,51,053,40060,999,,,Dinwiddie County,28001,11422,24533,9707,28001,24533
51057,050,51,057,99999,999,,,Essex County,11151,5757,9989,4926,11151,9989
51063,050,51,063,99999,999,,,Floyd County,15279,7790,13874,6763,15279,13874
51065,050,51,065,16820,999,,,Fluvanna County,25691,10383,20047,8018,25691,20047
51067,050,51,067,40220,999,,,Franklin County,56159,29315,47286,22717,56159,47286
51073,050,51,073,47260,999,,,Gloucester County,36858,15852,34780,14494,36858,34780
51077,050,51,077,99999,999,,,Grayson County,15533,9156,17917,9123,15533,17917
51079,050,51,079,16820,999,,,Greene County,18403,7509,15244,5986,18403,15244
51081,050,51,081,99999,999,,,Greensville County,12243,4090,11560,3765,12243,11560
51085,050,51,085,40060,999,,,Hanover County,99863,38360,86320,32196,99863,86320
51087,050,51,087,40060,999,,,Henrico County,306935,132778,262300,112570,306935,262300
51089,050,51,089,32300,999,,,Henry County,54151,26268,57930,25921,54151,57930
51093,050,51,093,47260,999,,,Isle of Wight County,35270,14633,29728,12066,35270,29728
51095,050,51,095,47260,999,,,James City County,67009,29797,48102,20772,67009,48102
51099,050,51,099,99999,999,,,King George County,23584,9477,16803,6820,23584,16803
51101,050,51,101,40060,999,,,King William County,15935,6522,13146,5189,15935,13146
51105,050,51,105,99999,999,,,Lee County,25587,11745,23589,11086,25587,23589
51107,050,51,107,47900,548,,,Loudoun County,312311,109442,169599,62160,312311,169599
51113,050,51,113,99999,999,,,Madison County,13308,5932,12520,5239,13308,12520
51117,050,51,117,99999,999,,,Mecklenburg County,32727,18591,32380,17403,32727,32380
51125,050,51,125,16820,999,,,Nelson County,15020,9931,14445,8554,15020,14445
51133,050,51,133,99999,999,,,Northumberland County,12330,8995,12259,8057,12330,12259
51135,050,51,135,99999,999,,,Nottoway County,15853,6650,15725,6373,15853,15725
51137,050,51,137,99999,999,,,Orange County,33481,14616,25881,11354,33481,25881
51141,050,51,141,99999,999,,,Patrick County,18490,10083,19407,9823,18490,19407
51143,050,51,143,19260,999,,,Pittsylvania County,63506,31307,61745,28011,63506,61745
51145,050,51,145,40060,999,,,Powhatan County,28046,10043,22377,7509,28046,22377
51155,050,51,155,13980,999,,,Pulaski County,34872,17235,35127,16325,34872,35127
51157,050,51,157,99999,999,,,Rappahannock County,7373,3839,6983,3303,7373,6983
51159,050,51,159,99999,999,,,Richmond County,9254,3850,8809,3512,9254,8809
51161,050,51,161,40220,999,,,Roanoke County,92376,40016,85778,36121,92376,85778
51165,050,51,165,25500,999,,,Rockingham County,76314,33660,67725,27328,76314,67725
51167,050,51,167,99999,999,,,Russell County,28897,13484,30308,13191,28897,30308
51169,050,51,169,28700,304,,,Scott County,23177,11916,23403,11355,23177,23403
51171,050,51,171,99999,999,,,Shenandoah County,41993,20876,35075,16709,41993,35075
51173,050,51,173,99999,999,,,Smyth County,32208,15427,33081,15111,32208,33081
51177,050,51,177,47900,548,,,Spotsylvania County,122397,45185,90395,33329,122397,90395
51179,050,51,179,47900,548,,,Stafford County,128961,43978,92446,31405,128961,92446
51183,050,51,183,40060,999,,,Sussex County,12087,4696,12504,4653,12087,12504
51185,050,51,185,14140,999,,,Tazewell County,45078,20826,44598,20390,45078,44598
51187,050,51,187,47900,548,,,Warren County,37575,16034,31584,13299,37575,31584
51191,050,51,191,28700,304,,,Washington County,54876,25601,51103,22985,54876,51103
51193,050,51,193,99999,999,,,Westmoreland County,17454,10618,16718,9286,17454,16718
51195,050,51,195,99999,999,,,Wise County,41452,17940,40123,17792,41452,40123
51197,050,51,197,99999,999,,,Wythe County,29235,14079,27599,12744,29235,27599
51199,050,51,199,47260,999,,,York County,65464,26849,56297,20701,65464,56297
51515,050,51,515,31340,999,,,Bedford city,6222,2920,6299,2702,6222,6299
51520,050,51,520,28700,304,,,Bristol city,17835,8831,17367,8469,17835,17367
51530,050,51,530,99999,999,,,Buena Vista city,6650,2936,6349,2716,6650,6349
51540,050,51,540,16820,999,,,Charlottesville city,43475,19189,45049,17591,43475,45049
51550,050,51,550,47260,999,,,Chesapeake city,222209,83196,199184,72672,222209,199184
51570,050,51,570,40060,999,,,Colonial Heights city,17411,7831,16897,7340,17411,16897
51580,050,51,580,99999,999,,,Covington city,5961,3067,6303,3195,5961,6303
51590,050,51,590,19260,999,,,Danville city,43055,22438,48411,23108,43055,48411
51595,050,51,595,99999,999,,,Emporia city,5927,2565,5665,2412,5927,5665
51600,050,51,600,47900,548,,,Fairfax city,22565,8680,21498,8204,22565,21498
51610,050,51,610,47900,548,,,Falls Church city,12332,5489,10377,4725,12332,10377
51630,050,51,630,47900,548,,,Fredericksburg city,24286,10467,19279,8888,24286,19279
51660,050,51,660,25500,999,,,Harrisonburg city,48914,17444,40468,13689,48914,40468
51670,050,51,670,40060,999,,,Hopewell city,22591,10121,22354,9749,22591,22354
51678,050,51,678,99999,999,,,Lexington city,7042,2546,6867,2376,7042,6867
51680,050,51,680,31340,999,,,Lynchburg city,75568,31992,65269,27640,75568,65269
51683,050,51,683,47900,548,,,Manassas city,37821,13123,35135,12114,37821,35135
51685,050,51,685,47900,548,,,Manassas Park city,14273,4904,10290,3365,14273,10290
51690,050,51,690,32300,999,,,Martinsville city,13821,7205,15416,7249,13821,15416
51700,050,51,700,47260,999,,,Newport News city,180719,76198,180150,74117,180719,180150
51710,050,51,710,47260,999,,,Norfolk city,242803,95018,234403,94416,242803,234403
51720,050,51,720,99999,999,,,Norton city,3958,1945,3904,1946,3958,3904
51730,050,51,730,40060,999,,,Petersburg city,32420,16326,33740,15955,32420,33740
51735,050,51,735,47260,999,,,Poquoson city,12150,4726,11566,4300,12150,11566
51740,050,51,740,47260,999,,,Portsmouth city,95535,40806,100565,41605,95535,100565
51760,050,51,760,40060,999,,,Richmond city,204214,98349,197790,92282,204214,197790
51770,050,51,770,40220,999,,,Roanoke city,97032,47453,94911,45257,97032,94911
51775,050,51,775,40220,999,,,Salem city,24802,10832,24747,10403,24802,24747
51790,050,51,790,44420,999,,,Staunton city,23746,11738,23853,10427,23746,23853
51800,050,51,800,47260,999,,,Suffolk city,84585,33035,63677,24704,84585,63677
51820,050,51,820,44420,999,,,Waynesboro city,21006,9717,19520,8863,21006,19520
51830,050,51,830,47260,999,,,Williamsburg city,14068,5176,11998,3880,14068,11998
51840,050,51,840,49020,548,,,Winchester city,26203,11872,23585,10587,26203,23585
