GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
50001,050,50,001,99999,999,,,Addison County,36821,16760,35974,15312,36821,35974
50005,050,50,005,99999,999,,,Caledonia County,31227,15942,29702,14504,31227,29702
50009,050,50,009,13620,999,,,Essex County,6306,5019,6459,4762,6306,6459
50011,050,50,011,15540,999,,,Franklin County,47746,21588,45417,19191,47746,45417
50013,050,50,013,15540,999,,,Grand Isle County,6970,5048,6901,4663,6970,6901
50015,050,50,015,99999,999,,,Lamoille County,24475,12969,23233,11009,24475,23233
50017,050,50,017,30100,180,,,Orange County,28936,14845,28226,13386,28936,28226
50019,050,50,019,99999,999,,,Orleans County,27231,16162,26277,14673,27231,26277
50021,050,50,021,40860,999,,,Rutland County,61642,33768,63400,32311,61642,63400
50023,050,50,023,12740,999,,,Washington County,59534,29941,58039,27644,59534,58039
50025,050,50,025,99999,999,,,Windham County,44513,29735,44216,27039,44513,44216
50003,050,50,003,13540,999,,,Bennington County,37125,20922,36994,19403,37125,36994
50007,050,50,007,15540,999,,,Chittenden County,156545,65722,146571,58864,156545,146571
50027,050,50,027,30100,180,,,Windsor County,56670,34118,57418,31621,56670,57418
