GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
23001,050,23,001,30340,438,,,Androscoggin County,107702,49090,103793,45960,107702,103793
23003,050,23,003,99999,999,,,Aroostook County,71870,39529,73938,38719,71870,73938
23005,050,23,005,38860,438,,,Cumberland County,281674,138657,265612,122600,281674,265612
23007,050,23,007,99999,999,,,Franklin County,30768,21709,29467,19159,30768,29467
23009,050,23,009,99999,999,,,Hancock County,54418,40184,51791,33945,54418,51791
23011,050,23,011,12300,999,,,Kennebec County,122151,60972,117114,56364,122151,117114
23013,050,23,013,40500,999,,,Knox County,39736,23744,39618,21612,39736,39618
23015,050,23,015,99999,999,,,Lincoln County,34457,23493,33616,20849,34457,33616
23017,050,23,017,99999,999,,,Oxford County,57833,36055,54755,32295,57833,54755
23019,050,23,019,12620,999,,,Penobscot County,153923,73860,144919,66847,153923,144919
23021,050,23,021,99999,999,,,Piscataquis County,17535,15340,17235,13783,17535,17235
23023,050,23,023,38860,438,,,Sagadahoc County,35293,18288,35214,16489,35293,35214
23027,050,23,027,99999,999,,,Waldo County,38786,21566,36280,18904,38786,36280
23029,050,23,029,99999,999,,,Washington County,32856,23001,33941,21919,32856,33941
23025,050,23,025,99999,999,,,Somerset County,52228,30569,50888,28222,52228,50888
23031,050,23,031,38860,438,,,York County,197131,105773,186742,94234,197131,186742
