GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
02013,050,02,013,99999,999,,,Aleutians East Borough,3141,747,2697,724,3141,2697
02016,050,02,016,99999,999,,,Aleutians West Census Area,5561,1929,5465,2234,5561,5465
02020,050,02,020,11260,999,,,Anchorage Municipality,291826,113032,260283,100368,291826,260283
02050,050,02,050,99999,999,,,Bethel Census Area,17013,5919,16006,5188,17013,16006
02060,050,02,060,99999,999,,,Bristol Bay Borough,997,969,1258,979,997,1258
02068,050,02,068,99999,999,,,Denali Borough,1826,1771,1893,1351,1826,1893
02070,050,02,070,99999,999,,,Dillingham Census Area,4847,2427,4922,2332,4847,4922
02105,050,02,105,99999,999,,,Hoonah-Angoon Census Area,2150,1771,,,2150,
02090,050,02,090,21820,999,,,Fairbanks North Star Borough,97581,41783,82840,33291,97581,82840
02100,050,02,100,99999,999,,,Haines Borough,2508,1631,2392,1419,2508,2392
02110,050,02,110,27940,999,,,Juneau City and Borough,31275,13055,30711,12282,31275,30711
02122,050,02,122,99999,999,,,Kenai Peninsula Borough,55400,30578,49691,24871,55400,49691
02130,050,02,130,28540,999,,,Ketchikan Gateway Borough,13477,6166,14070,6218,13477,14070
02150,050,02,150,28980,999,,,Kodiak Island Borough,13592,5303,13913,5159,13592,13913
02164,050,02,164,99999,999,,,Lake and Peninsula Borough,1631,1502,1823,1557,1631,1823
02170,050,02,170,11260,999,,,Matanuska-Susitna Borough,88995,41329,59322,27329,88995,59322
02180,050,02,180,99999,999,,,Nome Census Area,9492,4008,9196,3649,9492,9196
02185,050,02,185,99999,999,,,North Slope Borough,9430,2500,7385,2538,9430,7385
02188,050,02,188,99999,999,,,Northwest Arctic Borough,7523,2707,7208,2540,7523,7208
02195,050,02,195,99999,999,,,Petersburg Census Area,3815,1994,,,3815,
02198,050,02,198,99999,999,,,Prince of Wales-Hyder Census Area,5559,2992,,,5559,
02220,050,02,220,99999,999,,,Sitka City and Borough,8881,4102,8835,3650,8881,8835
02230,050,02,230,99999,999,,,Skagway Municipality,968,636,,,968,
02240,050,02,240,99999,999,,,Southeast Fairbanks Census Area,7029,3915,6174,3225,7029,6174
02261,050,02,261,99999,999,,,Valdez-Cordova Census Area,9636,6102,10195,5148,9636,10195
02270,050,02,270,99999,999,,,Wade Hampton Census Area,7459,2183,7028,2063,7459,7028
02275,050,02,275,99999,999,,,Wrangell City and Borough,2369,1428,,,2369,
02282,050,02,282,99999,999,,,Yakutat City and Borough,662,450,808,499,662,808
02290,050,02,290,99999,999,,,Yukon-Koyukuk Census Area,5588,4038,6551,3917,5588,6551
