GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
29003,050,29,003,41140,999,,,Andrew County,17291,7306,16492,6662,17291,16492
29005,050,29,005,99999,999,,,Atchison County,5685,2985,6430,3103,5685,6430
29007,050,29,007,33020,999,,,Audrain County,25529,10852,25853,10881,25529,25853
29009,050,29,009,99999,999,,,Barry County,35597,17523,34010,15964,35597,34010
29011,050,29,011,99999,999,,,Barton County,12402,5600,12541,5409,12402,12541
29013,050,29,013,28140,312,,,Bates County,17049,7842,16653,7247,17049,16653
29019,050,29,019,17860,999,,,Boone County,162642,69551,135454,56678,162642,135454
29021,050,29,021,41140,999,,,Buchanan County,89201,38427,85998,36574,89201,85998
29023,050,29,023,38740,999,,,Butler County,42794,19731,40867,18707,42794,40867
29025,050,29,025,28140,312,,,Caldwell County,9424,4605,8969,4493,9424,8969
29027,050,29,027,27620,999,,,Callaway County,44332,18522,40766,16167,44332,40766
29029,050,29,029,99999,999,,,Camden County,44002,41183,37051,33470,44002,37051
29031,050,29,031,16020,164,,,Cape Girardeau County,75674,32616,68693,29434,75674,68693
29033,050,29,033,99999,999,,,Carroll County,9295,4630,10285,4897,9295,10285
29035,050,29,035,99999,999,,,Carter County,6265,3247,5941,3028,6265,5941
29037,050,29,037,28140,312,,,Cass County,99478,40030,82092,31677,99478,82092
29039,050,29,039,99999,999,,,Cedar County,13982,7224,13733,6813,13982,13733
29043,050,29,043,44180,999,,,Christian County,77422,31576,54285,21827,77422,54285
29049,050,29,049,28140,312,,,Clinton County,20743,8876,18979,7877,20743,18979
29051,050,29,051,27620,999,,,Cole County,75990,32324,71397,28915,75990,71397
29053,050,29,053,99999,999,,,Cooper County,17601,7463,16670,6676,17601,16670
29055,050,29,055,99999,999,,,Crawford County,24696,11955,22804,10850,24696,22804
29057,050,29,057,99999,999,,,Dade County,7883,3965,7923,3758,7883,7923
29061,050,29,061,99999,999,,,Daviess County,8433,4199,8016,3853,8433,8016
29063,050,29,063,41140,999,,,DeKalb County,12892,4329,11597,3839,12892,11597
29065,050,29,065,99999,999,,,Dent County,15657,7285,14927,6994,15657,14927
29069,050,29,069,28380,999,,,Dunklin County,31953,14419,33155,14682,31953,33155
29071,050,29,071,41180,476,,,Franklin County,101492,43419,93807,38295,101492,93807
29073,050,29,073,99999,999,,,Gasconade County,15222,8205,15342,7813,15222,15342
29081,050,29,081,99999,999,,,Harrison County,8957,4407,8850,4316,8957,8850
29085,050,29,085,99999,999,,,Hickory County,9627,6835,8940,6184,9627,8940
29087,050,29,087,99999,999,,,Holt County,4912,2806,5351,2931,4912,5351
29089,050,29,089,17860,999,,,Howard County,10144,4582,10212,4346,10144,10212
29093,050,29,093,99999,999,,,Iron County,10630,5329,10697,4907,10630,10697
29095,050,29,095,28140,312,,,Jackson County,674158,312105,654880,288231,674158,654880
29097,050,29,097,27900,999,,,Jasper County,117404,50668,104686,45571,117404,104686
29099,050,29,099,41180,476,,,Jefferson County,218733,87626,198099,75586,218733,198099
29103,050,29,103,99999,999,,,Knox County,4131,2289,4361,2317,4131,4361
29107,050,29,107,28140,312,,,Lafayette County,33381,14718,32960,13707,33381,32960
29109,050,29,109,99999,999,,,Lawrence County,38634,16649,35204,14789,38634,35204
29111,050,29,111,39500,999,,,Lewis County,10211,4535,10494,4602,10211,10494
29113,050,29,113,41180,476,,,Lincoln County,52566,21011,38944,15511,52566,38944
29115,050,29,115,99999,999,,,Linn County,12761,6429,13754,6554,12761,13754
29117,050,29,117,99999,999,,,Livingston County,15195,6730,14558,6467,15195,14558
29119,050,29,119,22220,999,,,McDonald County,23083,9925,21681,9287,23083,21681
29121,050,29,121,99999,999,,,Macon County,15566,7665,15762,7502,15566,15762
29123,050,29,123,99999,999,,,Madison County,12226,5970,11800,5656,12226,11800
29125,050,29,125,99999,999,,,Maries County,9176,4611,8903,4149,9176,8903
29127,050,29,127,25300,999,,,Marion County,28781,12826,28289,12443,28781,28289
29131,050,29,131,99999,999,,,Miller County,24748,12758,23564,11263,24748,23564
29135,050,29,135,27620,999,,,Moniteau County,15607,6176,14827,5742,15607,14827
29137,050,29,137,99999,999,,,Monroe County,8840,4798,9311,4565,8840,9311
29139,050,29,139,99999,999,,,Montgomery County,12236,6130,12136,5726,12236,12136
29141,050,29,141,99999,999,,,Morgan County,20565,15517,19309,13898,20565,19309
29149,050,29,149,99999,999,,,Oregon County,10881,5486,10344,4997,10881,10344
29153,050,29,153,99999,999,,,Ozark County,9723,5652,9542,5114,9723,9542
29157,050,29,157,99999,999,,,Perry County,18971,8568,18132,7815,18971,18132
29161,050,29,161,40620,999,,,Phelps County,45156,19533,39825,17501,45156,39825
29163,050,29,163,99999,999,,,Pike County,18516,7875,18351,7493,18516,18351
29165,050,29,165,28140,312,,,Platte County,89322,39223,73781,30902,89322,73781
29167,050,29,167,44180,999,,,Polk County,31137,13304,26992,11183,31137,26992
29169,050,29,169,22780,999,,,Pulaski County,52274,17904,41165,15408,52274,41165
29171,050,29,171,99999,999,,,Putnam County,4979,2982,5223,2914,4979,5223
29173,050,29,173,25300,999,,,Ralls County,10167,5183,9626,4564,10167,9626
29181,050,29,181,99999,999,,,Ripley County,14100,6597,13509,6392,14100,13509
29183,050,29,183,41180,476,,,St. Charles County,360485,141016,283883,105514,360485,283883
29185,050,29,185,99999,999,,,St. Clair County,9805,5640,9652,5205,9805,9652
29187,050,29,187,22100,476,,,St. Francois County,65359,28458,55641,24449,65359,55641
29189,050,29,189,41180,476,,,St. Louis County,998954,438032,1016315,423749,998954,1016315
29195,050,29,195,32180,999,,,Saline County,23370,10117,23756,10019,23370,23756
29197,050,29,197,28860,999,,,Schuyler County,4431,2102,4170,2027,4431,4170
29199,050,29,199,99999,999,,,Scotland County,4843,2369,4983,2292,4843,4983
29201,050,29,201,43460,164,,,Scott County,39191,16987,40422,16951,39191,40422
29203,050,29,203,99999,999,,,Shannon County,8441,4164,8324,3862,8441,8324
29205,050,29,205,99999,999,,,Shelby County,6373,3206,6799,3245,6373,6799
29207,050,29,207,99999,999,,,Stoddard County,29968,13609,29705,13221,29968,29705
29213,050,29,213,14700,999,,,Taney County,51675,29255,39703,19688,51675,39703
29215,050,29,215,99999,999,,,Texas County,26008,11685,23003,10764,26008,23003
29217,050,29,217,99999,999,,,Vernon County,21159,9495,20454,8872,21159,20454
29219,050,29,219,41180,476,,,Warren County,32513,14685,24525,11046,32513,24525
29221,050,29,221,41180,476,,,Washington County,25195,11017,23344,9894,25195,23344
29223,050,29,223,99999,999,,,Wayne County,13521,8083,13259,7496,13521,13259
29225,050,29,225,44180,999,,,Webster County,36202,14417,31045,12052,36202,31045
29227,050,29,227,99999,999,,,Worth County,2171,1281,2382,1245,2171,2382
29229,050,29,229,99999,999,,,Wright County,18815,8700,17955,7957,18815,17955
29510,050,29,510,41180,476,,,St. Louis city,319294,176002,348189,176354,319294,348189
29059,050,29,059,44180,999,,,Dallas County,16777,7662,15661,6914,16777,15661
29067,050,29,067,99999,999,,,Douglas County,13684,6519,13084,5919,13684,13084
29143,050,29,143,99999,999,,,New Madrid County,18956,8531,19760,8600,18956,19760
29145,050,29,145,27900,999,,,Newton County,58114,24313,52636,21897,58114,52636
29159,050,29,159,42740,999,,,Pettis County,42201,18249,39403,16963,42201,39403
29186,050,29,186,99999,999,,,Ste. Genevieve County,18145,8637,17842,8018,18145,17842
29001,050,29,001,28860,999,,,Adair County,25607,11263,24977,10826,25607,24977
29015,050,29,015,99999,999,,,Benton County,19056,14150,17180,12691,19056,17180
29017,050,29,017,16020,164,,,Bollinger County,12363,5878,12029,5522,12363,12029
29041,050,29,041,99999,999,,,Chariton County,7831,4167,8438,4250,7831,8438
29045,050,29,045,22800,999,,,Clark County,7139,3473,7416,3483,7139,7416
29047,050,29,047,28140,312,,,Clay County,221939,93918,184006,76230,221939,184006
29075,050,29,075,99999,999,,,Gentry County,6738,3209,6861,3214,6738,6861
29077,050,29,077,44180,999,,,Greene County,275174,125387,240391,104517,275174,240391
29079,050,29,079,99999,999,,,Grundy County,10261,5023,10432,5102,10261,10432
29083,050,29,083,99999,999,,,Henry County,22272,10886,21997,10261,22272,21997
29091,050,29,091,48460,999,,,Howell County,40400,18021,37238,16340,40400,37238
29101,050,29,101,47660,312,,,Johnson County,52595,21528,48258,18886,52595,48258
29105,050,29,105,30060,999,,,Laclede County,35571,15778,32513,14320,35571,32513
29129,050,29,129,99999,999,,,Mercer County,3785,2135,3757,2125,3785,3757
29133,050,29,133,99999,999,,,Mississippi County,14358,5711,13427,5840,14358,13427
