GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
09001,050,09,001,14860,408,,,Fairfield County,916829,361221,882567,339466,916829,882567
09003,050,09,003,25540,278,,,Hartford County,894014,374249,857183,353022,894014,857183
09005,050,09,005,45860,408,,,Litchfield County,189927,87550,182193,79267,189927,182193
09007,050,09,007,25540,278,,,Middlesex County,165676,74837,155071,67285,165676,155071
09009,050,09,009,35300,408,,,New Haven County,862477,362004,824008,340732,862477,824008
09011,050,09,011,35980,999,,,New London County,274055,120994,259088,110674,274055,259088
09013,050,09,013,25540,278,,,Tolland County,152691,57963,136364,51570,152691,136364
09015,050,09,015,48740,278,,,Windham County,118428,49073,109091,43959,118428,109091
