GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
49001,050,49,001,99999,999,,,Beaver County,6629,2908,6005,2660,6629,6005
49003,050,49,003,14940,482,,,Box Elder County,49975,17326,42745,14209,49975,42745
49005,050,49,005,30860,999,,,Cache County,112656,37024,91391,29035,112656,91391
49007,050,49,007,39220,999,,,Carbon County,21403,9551,20422,8741,21403,20422
49009,050,49,009,99999,999,,,Daggett County,1059,1141,921,1084,1059,921
49013,050,49,013,99999,999,,,Duchesne County,18607,9493,14371,6988,18607,14371
49015,050,49,015,99999,999,,,Emery County,10976,4489,10860,4093,10976,10860
49017,050,49,017,99999,999,,,Garfield County,5172,3726,4735,2767,5172,4735
49019,050,49,019,99999,999,,,Grand County,9225,4816,8485,4062,9225,8485
49021,050,49,021,16260,999,,,Iron County,46163,19667,33779,13618,46163,33779
49023,050,49,023,39340,999,,,Juab County,10246,3502,8238,2810,10246,8238
49027,050,49,027,99999,999,,,Millard County,12503,4939,12405,4522,12503,12405
49031,050,49,031,99999,999,,,Piute County,1556,898,1435,745,1556,1435
49033,050,49,033,99999,999,,,Rich County,2264,2834,1961,2408,2264,1961
49035,050,49,035,41620,482,,,Salt Lake County,1029655,364031,898387,310988,1029655,898387
49037,050,49,037,99999,999,,,San Juan County,14746,5734,14413,5449,14746,14413
49041,050,49,041,99999,999,,,Sevier County,20802,8449,18842,7016,20802,18842
49045,050,49,045,41620,482,,,Tooele County,58218,19455,40735,13812,58218,40735
49047,050,49,047,46860,999,,,Uintah County,32588,11972,25224,9040,32588,25224
49049,050,49,049,39340,999,,,Utah County,516564,148350,368536,104315,516564,368536
49051,050,49,051,25720,482,,,Wasatch County,23530,10577,15215,6564,23530,15215
49053,050,49,053,41100,999,,,Washington County,138115,57734,90354,36478,138115,90354
49055,050,49,055,99999,999,,,Wayne County,2778,1591,2509,1329,2778,2509
49057,050,49,057,36260,482,,,Weber County,231236,86187,196533,70454,231236,196533
49011,050,49,011,36260,482,,,Davis County,306479,97570,238994,74114,306479,238994
49029,050,49,029,36260,482,,,Morgan County,9469,3006,7129,2158,9469,7129
49043,050,49,043,41620,482,,,Summit County,36324,26545,29736,17489,36324,29736
49025,050,49,025,99999,999,,,Kane County,7125,5815,6046,3767,7125,6046
49039,050,49,039,99999,999,,,Sanpete County,27822,10379,22763,7879,27822,22763
