GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
40001,050,40,001,99999,999,,,Adair County,22683,9142,21038,8348,22683,21038
40003,050,40,003,99999,999,,,Alfalfa County,5642,2763,6105,2832,5642,6105
40007,050,40,007,99999,999,,,Beaver County,5636,2670,5857,2719,5636,5857
40009,050,40,009,21120,999,,,Beckham County,22119,9647,19799,8796,22119,19799
40011,050,40,011,99999,999,,,Blaine County,11943,5193,11976,5208,11943,11976
40013,050,40,013,20460,999,,,Bryan County,42416,19586,36534,16715,42416,36534
40015,050,40,015,99999,999,,,Caddo County,29600,13141,30150,13096,29600,30150
40025,050,40,025,99999,999,,,Cimarron County,2475,1587,3148,1583,2475,3148
40027,050,40,027,36420,416,,,Cleveland County,255755,104821,208016,84844,255755,208016
40029,050,40,029,99999,999,,,Coal County,5925,2810,6031,2744,5925,6031
40031,050,40,031,30020,999,,,Comanche County,124098,50739,114996,45416,124098,114996
40033,050,40,033,99999,999,,,Cotton County,6193,3016,6614,3085,6193,6614
40035,050,40,035,99999,999,,,Craig County,15029,6749,14950,6459,15029,14950
40037,050,40,037,46140,538,,,Creek County,69967,29761,67367,27986,69967,67367
40041,050,40,041,99999,999,,,Delaware County,41487,24818,37077,22290,41487,37077
40043,050,40,043,99999,999,,,Dewey County,4810,2445,4743,2425,4810,4743
40045,050,40,045,99999,999,,,Ellis County,4151,2285,4075,2146,4151,4075
40051,050,40,051,36420,416,,,Grady County,52431,22219,45516,19444,52431,45516
40053,050,40,053,99999,999,,,Grant County,4527,2486,5144,2622,4527,5144
40059,050,40,059,99999,999,,,Harper County,3685,1908,3562,1863,3685,3562
40061,050,40,061,99999,999,,,Haskell County,12769,6028,11792,5573,12769,11792
40063,050,40,063,99999,999,,,Hughes County,14003,6183,14154,6237,14003,14154
40065,050,40,065,11060,999,,,Jackson County,26446,12077,28439,12377,26446,28439
40067,050,40,067,99999,999,,,Jefferson County,6472,3378,6818,3373,6472,6818
40073,050,40,073,99999,999,,,Kingfisher County,15034,6409,13926,5879,15034,13926
40075,050,40,075,99999,999,,,Kiowa County,9446,5216,10227,5304,9446,10227
40079,050,40,079,22900,999,,,Le Flore County,50384,21448,48109,20142,50384,48109
40081,050,40,081,36420,416,,,Lincoln County,34273,15208,32080,13712,34273,32080
40083,050,40,083,36420,416,,,Logan County,41848,17195,33924,13906,41848,33924
40085,050,40,085,11620,999,,,Love County,9423,4539,8831,4066,9423,8831
40089,050,40,089,99999,999,,,McCurtain County,33151,15533,34402,15427,33151,34402
40091,050,40,091,99999,999,,,McIntosh County,20252,13350,19456,12640,20252,19456
40095,050,40,095,99999,999,,,Marshall County,15840,10006,13184,8517,15840,13184
40097,050,40,097,99999,999,,,Mayes County,41259,19239,38369,17423,41259,38369
40099,050,40,099,99999,999,,,Murray County,13488,6746,12623,6479,13488,12623
40103,050,40,103,99999,999,,,Noble County,11561,5341,11411,5082,11561,11411
40107,050,40,107,99999,999,,,Okfuskee County,12191,5282,11814,5114,12191,11814
40109,050,40,109,36420,416,,,Oklahoma County,718633,319828,660448,295020,718633,660448
40111,050,40,111,46140,538,,,Okmulgee County,40069,17891,39685,17316,40069,39685
40115,050,40,115,33060,999,,,Ottawa County,31848,14060,33194,14842,31848,33194
40119,050,40,119,44660,999,,,Payne County,77350,33991,68190,29326,77350,68190
40121,050,40,121,32540,999,,,Pittsburg County,45837,22634,43953,21520,45837,43953
40123,050,40,123,10220,999,,,Pontotoc County,37492,16595,35143,15575,37492,35143
40129,050,40,129,99999,999,,,Roger Mills County,3647,1905,3436,1749,3647,3436
40131,050,40,131,46140,538,,,Rogers County,86905,35160,70641,27476,86905,70641
40133,050,40,133,99999,999,,,Seminole County,25482,11642,24894,11146,25482,24894
40135,050,40,135,22900,999,,,Sequoyah County,42391,18656,38972,16940,42391,38972
40151,050,40,151,99999,999,,,Woods County,8878,4478,9089,4492,8878,9089
40153,050,40,153,49260,999,,,Woodward County,20081,8838,18486,8341,20081,18486
40019,050,40,019,11620,999,,,Carter County,47557,21148,45621,20577,47557,45621
40039,050,40,039,48220,999,,,Custer County,27469,12204,26142,11675,27469,26142
40047,050,40,047,21420,999,,,Garfield County,60580,26831,57813,26047,60580,57813
40071,050,40,071,38620,999,,,Kay County,46562,21708,48080,21804,46562,48080
40087,050,40,087,36420,416,,,McClain County,34506,13996,27740,11189,34506,27740
40093,050,40,093,99999,999,,,Major County,7527,3671,7545,3540,7527,7545
40117,050,40,117,46140,538,,,Pawnee County,16577,7745,16612,7464,16577,16612
40145,050,40,145,46140,538,,,Wagoner County,73085,29694,57491,23174,73085,57491
40005,050,40,005,99999,999,,,Atoka County,14182,6312,13879,5673,14182,13879
40017,050,40,017,36420,416,,,Canadian County,115541,45810,87697,33969,115541,87697
40021,050,40,021,45140,999,,,Cherokee County,46987,21455,42521,19499,46987,42521
40023,050,40,023,99999,999,,,Choctaw County,15205,7521,15342,7539,15205,15342
40049,050,40,049,99999,999,,,Garvin County,27576,12827,27210,12641,27576,27210
40055,050,40,055,99999,999,,,Greer County,6239,2738,6061,2788,6239,6061
40057,050,40,057,99999,999,,,Harmon County,2922,1544,3283,1647,2922,3283
40069,050,40,069,99999,999,,,Johnston County,10957,5126,10513,4782,10957,10513
40077,050,40,077,99999,999,,,Latimer County,11154,4979,10692,4709,11154,10692
40101,050,40,101,34780,999,,,Muskogee County,70990,30908,69451,29575,70990,69451
40105,050,40,105,99999,999,,,Nowata County,10536,4828,10569,4705,10536,10569
40113,050,40,113,46140,538,,,Osage County,47472,21143,44437,18826,47472,44437
40125,050,40,125,43060,416,,,Pottawatomie County,69442,29139,65521,27302,69442,65521
40127,050,40,127,99999,999,,,Pushmataha County,11572,6110,11667,5795,11572,11667
40137,050,40,137,20340,999,,,Stephens County,45048,20658,43182,19854,45048,43182
40139,050,40,139,25100,999,,,Texas County,20640,8208,20107,8014,20640,20107
40141,050,40,141,99999,999,,,Tillman County,7992,4077,9287,4342,7992,9287
40143,050,40,143,46140,538,,,Tulsa County,603403,268426,563299,243953,603403,563299
40147,050,40,147,12780,538,,,Washington County,50976,23451,48996,22250,50976,48996
40149,050,40,149,99999,999,,,Washita County,11629,5479,11508,5452,11629,11508
