GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
37001,050,37,001,15500,268,,,Alamance County,151131,66576,130800,55463,151131,130800
37003,050,37,003,25860,999,,,Alexander County,37198,16189,33603,14098,37198,33603
37005,050,37,005,99999,999,,,Alleghany County,11155,8094,10677,6412,11155,10677
37007,050,37,007,16740,172,,,Anson County,26948,11576,25275,10221,26948,25275
37009,050,37,009,99999,999,,,Ashe County,27281,17342,24384,13268,27281,24384
37015,050,37,015,99999,999,,,Bertie County,21282,9822,19773,9050,21282,19773
37017,050,37,017,99999,999,,,Bladen County,35190,17718,32278,15316,35190,32278
37019,050,37,019,48900,999,,,Brunswick County,107431,77482,73143,51431,107431,73143
37021,050,37,021,11700,120,,,Buncombe County,238318,113365,206330,93973,238318,206330
37023,050,37,023,25860,999,,,Burke County,90912,40879,89148,37427,90912,89148
37025,050,37,025,16740,172,,,Cabarrus County,178011,71937,131063,52848,178011,131063
37029,050,37,029,21020,999,,,Camden County,9980,4104,6885,2973,9980,6885
37031,050,37,031,33980,999,,,Carteret County,66469,48179,59383,40947,66469,59383
37033,050,37,033,99999,999,,,Caswell County,23719,10619,23501,9601,23719,23501
37037,050,37,037,20500,450,,,Chatham County,63505,28753,49329,21358,63505,49329
37041,050,37,041,99999,999,,,Chowan County,14793,7289,14526,6443,14793,14526
37045,050,37,045,43140,172,,,Cleveland County,98078,43373,96287,40317,98078,96287
37047,050,37,047,99999,999,,,Columbus County,58098,26042,54749,24060,58098,54749
37049,050,37,049,35100,999,,,Craven County,103505,45002,91436,38150,103505,91436
37051,050,37,051,22180,999,,,Cumberland County,319431,135524,302963,118425,319431,302963
37053,050,37,053,47260,999,,,Currituck County,23547,14453,18190,10687,23547,18190
37055,050,37,055,28620,999,,,Dare County,33920,33492,29967,26671,33920,29967
37057,050,37,057,45640,268,,,Davidson County,162878,72655,147246,62432,162878,147246
37059,050,37,059,49180,268,,,Davie County,41240,18238,34835,14953,41240,34835
37061,050,37,061,99999,999,,,Duplin County,58505,25728,49063,20520,58505,49063
37063,050,37,063,20500,450,,,Durham County,267587,120217,223314,95452,267587,223314
37065,050,37,065,40580,999,,,Edgecombe County,56552,24838,55606,24002,56552,55606
37069,050,37,069,39580,450,,,Franklin County,60619,26577,47260,20364,60619,47260
37071,050,37,071,16740,172,,,Gaston County,206086,88686,190365,78842,206086,190365
37073,050,37,073,99999,999,,,Gates County,12197,5208,10516,4389,12197,10516
37075,050,37,075,99999,999,,,Graham County,8861,5930,7993,5084,8861,7993
37077,050,37,077,99999,999,,,Granville County,59916,22827,48498,17896,59916,48498
37083,050,37,083,40260,999,,,Halifax County,54691,25781,57370,25309,54691,57370
37085,050,37,085,20380,450,,,Harnett County,114678,46731,91025,38605,114678,91025
37087,050,37,087,11700,120,,,Haywood County,59036,34954,54033,28640,59036,54033
37089,050,37,089,11700,120,,,Henderson County,106740,54710,89173,42996,106740,89173
37091,050,37,091,99999,999,,,Hertford County,24669,10635,22601,9724,24669,22601
37093,050,37,093,22180,999,,,Hoke County,46952,18211,33646,12518,46952,33646
37097,050,37,097,44380,172,,,Iredell County,159437,69013,122660,51918,159437,122660
37099,050,37,099,99999,999,,,Jackson County,40271,25948,33121,19291,40271,33121
37101,050,37,101,39580,450,,,Johnston County,168878,67682,121965,50196,168878,121965
37103,050,37,103,35100,999,,,Jones County,10153,4838,10381,4679,10153,10381
37105,050,37,105,41820,999,,,Lee County,57866,24136,49040,19909,57866,49040
37107,050,37,107,28820,999,,,Lenoir County,59495,27437,59648,27184,59495,59648
37109,050,37,109,30740,172,,,Lincoln County,78265,33641,63780,25717,78265,63780
37113,050,37,113,99999,999,,,Macon County,33922,25245,29811,20746,33922,29811
37115,050,37,115,11700,120,,,Madison County,20764,10608,19635,9722,20764,19635
37117,050,37,117,99999,999,,,Martin County,24505,11704,25593,10930,24505,25593
37119,050,37,119,16740,172,,,Mecklenburg County,919628,398510,695454,292780,919628,695454
37121,050,37,121,99999,999,,,Mitchell County,15579,8713,15687,7919,15579,15687
