GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
26011,050,26,011,99999,999,,,Arenac County,15899,9803,17269,9563,15899,17269
26085,050,26,085,99999,999,,,Lake County,11539,14966,11333,13498,11539,11333
26107,050,26,107,13660,999,,,Mecosta County,42798,21131,40553,19593,42798,40553
26003,050,26,003,99999,999,,,Alger County,9601,6554,9862,5964,9601,9862
26083,050,26,083,26340,999,,,Keweenaw County,2156,2467,2301,2327,2156,2301
26099,050,26,099,19820,220,,,Macomb County,840978,356626,788149,320276,840978,788149
26111,050,26,111,33220,999,,,Midland County,83629,35960,82874,33796,83629,82874
26115,050,26,115,33780,220,,,Monroe County,152021,62971,145945,56471,152021,145945
26123,050,26,123,24340,266,,,Newaygo County,48460,25075,47874,23202,48460,47874
26033,050,26,033,42300,999,,,Chippewa County,38520,21253,38543,19430,38520,38543
26035,050,26,035,99999,999,,,Clare County,30926,23233,31252,22229,30926,31252
26101,050,26,101,99999,999,,,Manistee County,24733,15694,24527,14272,24733,24527
26135,050,26,135,99999,999,,,Oscoda County,8640,9118,9418,8690,8640,9418
26151,050,26,151,99999,999,,,Sanilac County,43114,22725,44547,21314,43114,44547
26155,050,26,155,37020,330,,,Shiawassee County,70648,30319,71687,29087,70648,71687
26165,050,26,165,15620,999,,,Wexford County,32735,16736,30484,14872,32735,30484
26001,050,26,001,99999,999,,,Alcona County,10942,11073,11719,10584,10942,11719
26145,050,26,145,40980,474,,,Saginaw County,200169,86844,210039,85505,200169,210039
26161,050,26,161,11460,220,,,Washtenaw County,344791,147573,322895,131069,344791,322895
26005,050,26,005,10880,266,,,Allegan County,111408,49426,105665,43292,111408,105665
26009,050,26,009,99999,999,,,Antrim County,23580,17824,23110,15090,23580,23110
26015,050,26,015,24340,266,,,Barry County,59173,27010,56755,23876,59173,56755
26023,050,26,023,17740,999,,,Branch County,45248,20841,45787,19822,45248,45787
26029,050,26,029,99999,999,,,Charlevoix County,25949,17249,26090,15370,25949,26090
26039,050,26,039,99999,999,,,Crawford County,14074,11092,14273,10042,14074,14273
26045,050,26,045,29620,330,,,Eaton County,107759,47050,103655,42118,107759,103655
26051,050,26,051,99999,999,,,Gladwin County,25692,17672,26023,16828,25692,26023
26091,050,26,091,10300,999,,,Lenawee County,99892,43452,98890,39769,99892,98890
26105,050,26,105,99999,999,,,Mason County,28705,17293,28274,16063,28705,28274
26109,050,26,109,31940,999,,,Menominee County,24029,14227,25326,13639,24029,25326
26113,050,26,113,15620,999,,,Missaukee County,14849,9117,14478,8621,14849,14478
26119,050,26,119,99999,999,,,Montmorency County,9765,9597,10315,9238,9765,10315
26125,050,26,125,19820,220,,,Oakland County,1202362,527255,1194156,492006,1202362,1194156
26129,050,26,129,99999,999,,,Ogemaw County,21699,16047,21645,15404,21699,21645
26037,050,26,037,29620,330,,,Clinton County,75382,30695,64753,24630,75382,64753
26053,050,26,053,99999,999,,,Gogebic County,16427,10795,17370,10839,16427,17370
26079,050,26,079,45900,999,,,Kalkaska County,17153,12171,16571,10822,17153,16571
26117,050,26,117,99999,999,,,Montcalm County,63342,28221,61266,25900,63342,61266
26131,050,26,131,99999,999,,,Ontonagon County,6780,5672,7818,5404,6780,7818
26121,050,26,121,34740,266,,,Muskegon County,172188,73561,170200,68556,172188,170200
26057,050,26,057,10940,999,,,Gratiot County,42476,16339,42285,15516,42476,42285
26163,050,26,163,19820,220,,,Wayne County,1820584,821693,2061162,826145,1820584,2061162
26019,050,26,019,45900,999,,,Benzie County,17525,12199,15998,10312,17525,15998
26061,050,26,061,26340,999,,,Houghton County,36628,18636,36016,17748,36628,36016
26067,050,26,067,24340,266,,,Ionia County,63905,24778,61518,22006,63905,61518
26071,050,26,071,99999,999,,,Iron County,11817,9197,13138,8772,11817,13138
26097,050,26,097,99999,999,,,Mackinac County,11113,11010,11943,9413,11113,11943
