GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
35001,050,35,001,10740,999,,,Bernalillo County,662564,284234,556678,239074,662564,556678
35003,050,35,003,99999,999,,,Catron County,3725,3289,3543,2548,3725,3543
35005,050,35,005,40740,999,,,Chaves County,65645,26697,61382,25647,65645,61382
35006,050,35,006,24380,999,,,Cibola County,27213,11101,25595,10328,27213,25595
35007,050,35,007,99999,999,,,Colfax County,13750,10023,14189,8959,13750,14189
35009,050,35,009,17580,188,,,Curry County,48376,20062,45044,19212,48376,45044
35011,050,35,011,99999,999,,,De Baca County,2022,1344,2240,1307,2022,2240
35013,050,35,013,29740,999,,,Doña Ana County,209233,81492,174682,65210,209233,174682
35015,050,35,015,16100,999,,,Eddy County,53829,22585,51658,22249,53829,51658
35017,050,35,017,43500,999,,,Grant County,29514,14693,31002,14066,29514,31002
35019,050,35,019,99999,999,,,Guadalupe County,4687,2393,4680,2160,4687,4680
35021,050,35,021,99999,999,,,Harding County,695,526,810,545,695,810
35023,050,35,023,99999,999,,,Hidalgo County,4894,2393,5932,2848,4894,5932
35025,050,35,025,26020,999,,,Lea County,64727,24919,55511,23405,64727,55511
35027,050,35,027,40760,999,,,Lincoln County,20497,17519,19411,15298,20497,19411
35028,050,35,028,31060,999,,,Los Alamos County,17950,8354,18343,7937,17950,18343
35029,050,35,029,19700,999,,,Luna County,25095,10999,25016,11291,25095,25016
35031,050,35,031,23700,999,,,McKinley County,71492,25813,74798,26718,71492,74798
35033,050,35,033,99999,999,,,Mora County,4881,3232,5180,2973,4881,5180
35035,050,35,035,10460,999,,,Otero County,63797,30992,62298,29272,63797,62298
35037,050,35,037,99999,999,,,Quay County,9041,5569,10155,5664,9041,10155
35039,050,35,039,21580,492,,,Rio Arriba County,40246,19638,41190,18016,40246,41190
35041,050,35,041,38780,188,,,Roosevelt County,19846,8163,18018,7746,19846,18018
35043,050,35,043,10740,999,,,Sandoval County,131561,52287,89908,34866,131561,89908
35045,050,35,045,22140,999,,,San Juan County,130044,49341,113801,43221,130044,113801
35047,050,35,047,29780,999,,,San Miguel County,29393,15595,30126,14254,29393,30126
35049,050,35,049,42140,492,,,Santa Fe County,144170,71267,129292,57701,144170,129292
35051,050,35,051,99999,999,,,Sierra County,11988,8356,13270,8727,11988,13270
35053,050,35,053,99999,999,,,Socorro County,17866,8059,18078,7808,17866,18078
35055,050,35,055,45340,999,,,Taos County,32937,20265,29979,17404,32937,29979
35057,050,35,057,10740,999,,,Torrance County,16383,7798,16911,7257,16383,16911
35059,050,35,059,99999,999,,,Union County,4549,2305,4174,2225,4549,4174
35061,050,35,061,10740,999,,,Valencia County,76569,30085,66152,24643,76569,66152
