GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
56001,050,56,001,29660,999,,,Albany County,36299,17939,32014,15215,36299,32014
56005,050,56,005,23940,999,,,Campbell County,46133,18955,33698,13288,46133,33698
56007,050,56,007,99999,999,,,Carbon County,15885,8576,15639,8307,15885,15639
56009,050,56,009,99999,999,,,Converse County,13833,6403,12052,5669,13833,12052
56013,050,56,013,40180,999,,,Fremont County,40123,17796,35804,15541,40123,35804
56019,050,56,019,99999,999,,,Johnson County,8569,4553,7075,3503,8569,7075
56021,050,56,021,16940,999,,,Laramie County,91738,40462,81607,34213,91738,81607
56023,050,56,023,99999,999,,,Lincoln County,18106,8946,14573,6831,18106,14573
56027,050,56,027,99999,999,,,Niobrara County,2484,1338,2407,1338,2484,2407
56029,050,56,029,99999,999,,,Park County,28205,13562,25786,11869,28205,25786
56033,050,56,033,43260,999,,,Sheridan County,29116,13939,26560,12577,29116,26560
56035,050,56,035,99999,999,,,Sublette County,10247,5770,5920,3552,10247,5920
56037,050,56,037,40540,999,,,Sweetwater County,43806,18735,37613,15921,43806,37613
56039,050,56,039,27220,999,,,Teton County,21294,12813,18251,10267,21294,18251
56041,050,56,041,21740,999,,,Uinta County,21118,8713,19742,8011,21118,19742
56045,050,56,045,99999,999,,,Weston County,7208,3533,6644,3231,7208,6644
56015,050,56,015,99999,999,,,Goshen County,13249,5972,12538,5881,13249,12538
56003,050,56,003,99999,999,,,Big Horn County,11668,5379,11461,5105,11668,11461
56011,050,56,011,99999,999,,,Crook County,7083,3595,5887,2935,7083,5887
56017,050,56,017,99999,999,,,Hot Springs County,4812,2582,4882,2536,4812,4882
56025,050,56,025,16220,999,,,Natrona County,75450,33807,66533,29882,75450,66533
56031,050,56,031,99999,999,,,Platte County,8667,4667,8807,4528,8667,8807
56043,050,56,043,99999,999,,,Washakie County,8533,3833,8289,3654,8533,8289
